10;0,1830;1,1300;2,1330;3,2015;0,2030;1,1530;2,1530;0,1730;1,1730;-1,1830;
ttttttttt;20130719:1:1:5:2:6:3:3:7:4;12:14;16:9;10:6;11:3;15:5;2:18;4:17;7:13;1:8;
ttttttttt;20130726:1:1:5:2:6:3:3:7:4;9:2;18:7;3:12;14:16;17:10;6:4;8:11;5:1;13:15;
ttttttttt;20130809:1:1:1:2:2:3:3:3:4;1:6;4:13;15:7;11:5;12:17;10:18;14:9;16:8;2:3;
ttttttttt;20130816:1:1:5:2:2:3:3:3:4;17:2;18:11;13:10;3:14;5:16;6:12;8:9;15:4;7:1;
ttttttttt;20130823:1:1:1:2:2:3:3:3:4;12:18;14:8;16:17;2:5;9:3;1:13;4:7;11:6;10:15;
ttttttttt;20130830:1:1:1:2:2:3:3:3:4;4:2;6:16;18:1;7:10;13:11;5:14;15:12;17:9;3:8;
ttttttttt;20130913:1:1:1:2:2:3:3:3:4;9:6;11:17;14:18;10:4;16:3;1:15;2:13;12:7;8:5;
ttttttttt;20130920:1:1:1:2:2:2:3:3:4;5:3;7:2;17:8;6:14;13:9;18:16;4:12;15:11;10:1;
ttttttttt;20130927:1:1:1:2:2:3:3:3:4;8:18;9:5;14:17;1:4;11:7;3:6;12:10;16:13;2:15;
ttttttttt;20131004:1:1:1:2:2:3:3:3:4;7:16;10:11;18:3;15:9;17:5;4:14;6:8;13:12;1:2;
ttttttttt;20131018:1:1:1:2:2:3:3:3:4;8:7;9:18;11:4;14:13;16:15;2:10;3:17;12:1;5:6;
ttttttttt;20131025:1:1:1:2:2:3:3:3:4;2:12;10:16;18:5;1:11;4:9;7:14;15:8;17:6;13:3;
ttttttttt;20131101:1:1:1:2:2:3:3:3:4;8:13;9:1;11:12;3:10;14:2;6:15;16:4;17:18;5:7;
ttttttttt;20131108:1:1:1:2:2:3:3:3:4;2:11;4:3;12:9;7:17;18:6;1:16;13:5;15:14;10:8;
ttttttttt;20131122:1:1:1:2:2:3:3:3:4;8:4;16:11;18:13;3:7;5:12;9:10;14:1;17:15;6:2;
ttttttttt;20131129:1:1:1:2:2:3:3:3:4;1:17;7:9;10:5;12:16;15:3;2:8;11:14;13:6;4:18;
ttttttttt;20131206:1:1:1:2:2:3:3:3:4;14:10;17:13;18:15;5:4;6:7;8:12;9:11;16:2;3:1;
ttttttttt;20131213:1:1:1:2:2:3:3:3:4;3:11;5:15;9:16;8:1;13:7;14:12;17:4;18:2;6:10;
ttttttttt;20131220:1:1:1:2:2:3:3:3:4;10:17;15:13;16:14;4:6;7:18;1:5;2:9;11:8;12:3;
ttttttttt;20140207:1:1:1:2:2:3:3:3:4;8:16;9:14;13:4;3:2;7:15;5:11;17:12;18:10;6:1;
ttttttttt;20140214:1:1:1:2:2:3:3:3:4;1:7;2:17;12:6;4:15;10:13;9:8;11:18;16:5;14:3;
ttttttttt;20140221:1:1:1:2:2:3:3:3:4;7:4;8:14;18:12;6:11;17:16;3:9;13:1;15:10;5:2;
ttttttttt;20140228:1:1:1:2:2:3:3:3:4;1:18;8:3;11:13;14:5;16:6;2:4;9:17;12:15;10:7;
ttttttttt;20140307:1:1:5:2:2:3:3:3:4;3:16;6:9;5:8;7:12;18:14;4:10;15:1;17:11;13:2;
ttttttttt;20140314:1:1:1:2:2:3:3:3:4;9:13;11:15;12:4;8:17;14:6;1:10;2:7;16:18;3:5;
ttttttttt;20140321:1:1:1:2:2:2:3:3:3;7:11;13:16;15:2;4:1;5:9;10:12;6:3;17:14;18:8;
ttttttttt;20140325:8:8:8:8:8:9:9:9:9;2:1;9:15;11:10;12:13;16:7;3:18;5:17;8:6;14:4;
ttttttttt;20140328:1:1:1:2:2:3:3:3:4;1:12;10:2;15:16;13:14;17:3;4:11;6:5;18:9;7:8;
ttttttttt;20140404:1:1:1:2:2:3:3:3:4;8:15;9:4;11:1;5:18;16:10;3:13;6:17;14:7;12:2;
ttttttttt;20140411:1:1:1:2:2:3:3:3:4;7:5;10:3;12:11;2:14;18:17;1:9;4:16;13:8;15:6;
ttttttttt;20140418:10:10:10:2:2:3:3:3:4;8:10;14:15;16:1;6:18;17:7;3:4;9:12;11:2;5:13;
ttttttttt;20140425:1:1:1:2:2:3:3:3:4;2:6;12:5;13:18;1:14;4:8;10:9;11:16;15:17;7:3;
ttttttttt;20140502:7:7:7:7:7:7:7:7:7;3:15;5:10;6:13;8:2;9:7;14:11;16:12;17:1;18:4;
ttttttttt;20140509:7:7:7:7:7:7:7:7:7;1:3;2:16;4:5;7:6;10:14;11:9;12:8;13:17;15:18;
