18:4;14:3;13:5;15:17;2:11;6:12;7:10;8:16;1:9;
9:8;17:13;4:6;11:18;16:1;10:2;3:15;12:7;5:14;
1:11;2:12;6:5;7:4;8:10;9:16;13:3;15:14;18:17;
3:18;4:2;5:15;10:1;11:9;12:8;14:13;16:7;17:6;
1:12;2:17;6:3;7:5;8:4;9:10;11:16;13:15;18:14;
3:7;4:1;5:2;10:16;12:11;13:6;14:9;15:18;17:8;
1:17;2:3;6:15;7:14;8:5;9:12;11:10;16:4;18:13;
3:10;4:9;5:1;12:16;13:7;14:2;15:8;17:11;18:6;
1:13;2:15;6:14;7:18;8:3;9:17;10:12;11:4;16:5;
3:1;4:10;5:9;6:7;13:8;14:11;15:12;17:16;18:2;
1:14;2:6;7:15;8:18;9:13;10:17;11:5;12:4;16:3;
3:4;5:10;6:8;7:2;13:11;14:16;15:1;17:12;18:9;
1:6;2:13;4:17;8:7;9:3;10:14;11:15;12:5;16:18;
2:8;3:11;5:4;6:16;7:9;13:12;14:17;15:10;18:1;
1:2;4:13;8:14;9:6;10:18;11:7;12:3;16:15;17:5;
2:16;3:5;6:11;7:17;8:1;13:10;14:4;15:9;18:12;
1:7;4:15;5:18;9:2;10:6;11:8;12:14;16:13;17:3;
3:14;4:18;5:13;9:1;10:7;11:2;12:6;16:8;17:15;
1:16;2:10;6:4;7:12;8:9;13:17;14:5;15:3;18:11;
3:13;4:7;5:6;10:8;11:1;12:2;14:15;16:9;17:18;
1:10;2:4;6:17;7:16;8:12;9:11;13:14;15:5;18:3;
3:6;4:8;5:7;10:9;12:1;14:18;15:13;16:11;17:2;
1:4;2:5;6:13;7:3;8:17;9:14;11:12;16:10;18:15;
3:2;4:16;5:8;10:11;12:9;13:18;14:7;15:6;17:1;
1:5;2:14;6:18;7:13;8:15;9:4;10:3;11:17;16:12;
3:8;4:11;5:16;12:10;13:1;14:6;15:2;17:9;18:7;
1:3;2:18;7:6;8:13;9:5;10:4;11:14;12:15;16:17;
3:16;4:12;5:11;6:2;13:9;14:1;15:7;17:10;18:8;
1:15;2:7;4:3;8:6;9:18;10:5;11:13;12:17;16:14;
3:9;5:12;6:1;7:8;13:2;14:10;15:11;17:4;18:16;
1:18;4:5;8:2;9:7;10:15;11:3;12:13;16:6;17:14;
2:1;3:12;5:17;6:9;7:11;13:4;14:8;15:16;18:10;
1:8;4:14;5:3;9:15;10:13;11:6;12:18;16:2;17:7;
2:9;3:17;6:10;7:1;8:11;13:16;14:12;15:4;18:5;
