9;0,1830;1,1300;2,1330;3,2030;0,2030;1,1530;2,1530;1,1830;2,2030;
ttttttttt;20180803:5:2:6:6:3:7:7:7:4;1:3;6:2;5:9;15:11;17:12;8:16;10:18;13:4;14:7;
ttttttttt;20180810:1:1:5:2:6:3:7:7:4;9:15;18:5;12:10;7:6;4:14;11:1;3:13;16:17;2:8;
ttttttttt;20180824:1:1:2:2:2:3:3:3:4;6:11;10:7;2:16;15:18;17:9;5:3;8:12;14:13;1:4;
ttttttttt;20180831:0:1:1:2:2:3:3:3:4;14:1;9:16;18:6;4:5;7:15;11:8;12:2;13:10;3:17;
ttttttttt;20180914:1:1:2:2:2:3:3:3:4;5:14;8:7;1:13;10:11;15:3;2:18;6:9;16:12;17:4;
ttttttttt;20180921:1:1:2:2:2:3:3:3:3;9:12;11:2;3:6;4:8;14:10;1:5;7:16;13:15;18:17;
ttttttttt;20180925:1:1:1:1:8:8:8:8:9;2:9;6:14;8:3;10:4;5:13;12:18;16:11;17:7;15:1;
ttttttttt;20180928:1:1:2:2:2:3:3:3:4;3:10;4:2;7:5;13:6;18:16;1:12;11:17;14:15;9:8;
ttttttttt;20181005:0:0:0:0:0:0:0:0:0;2:7;6:4;8:13;9:18;10:1;12:11;15:5;16:3;17:14;
ttttttttt;20181019:0:0:0:0:0:0:0:0:0;1:6;3:2;4:15;5:10;7:12;11:9;13:17;14:16;18:8;
ttttttttt;20181026:0:0:0:0:0:0:0:0:0;2:13;6:5;8:14;9:7;10:15;12:3;16:4;17:1;18:11;
ttttttttt;20181102:0:0:0:0:0:0:0:0:0;1:2;3:9;4:12;5:8;7:18;10:17;13:16;14:11;15:6;
ttttttttt;20181109:0:0:0:0:0:0:0:0:0;2:14;6:10;8:15;9:4;11:7;12:13;16:1;17:5;18:3;
ttttttttt;20181123:0:0:0:0:0:0:0:0:0;1:8;3:11;4:7;5:12;6:16;10:2;13:18;14:9;15:17;
ttttttttt;20181130:0:0:0:0:0:0:0:0:0;2:15;7:3;8:10;9:1;11:13;12:14;16:5;17:6;18:4;
ttttttttt;20181207:0:0:0:0:0:0:0:0:0;1:18;4:11;5:2;6:12;10:9;13:7;14:3;15:16;17:8;
ttttttttt;20181214:0:0:0:0:0:0:0:0:0;2:17;3:4;7:1;8:6;9:13;11:5;12:15;16:10;18:14;
ttttttttt;20181221:0:0:0:0:0:0:0:0:0;2:6;3:1;4:13;7:14;9:5;11:15;12:17;16:8;18:10;
ttttttttt;20190129:0:0:0:0:0:0:0:0:0;1:11;5:18;6:7;8:2;10:12;13:3;14:4;15:9;17:16;
ttttttttt;20190201:0:0:0:0:0:0:0:0:0;3:5;4:1;7:10;9:17;11:6;12:8;13:14;16:2;18:15;
ttttttttt;20190208:0:0:0:0:0:0:0:0:0;1:14;2:12;5:4;6:18;8:11;10:13;15:7;16:9;17:3;
ttttttttt;20190215:0:0:0:0:0:0:0:0:0;3:15;4:17;7:8;9:6;11:10;12:16;13:1;14:5;18:2;
ttttttttt;20190222:0:0:0:0:0:0:0:0:0;2:11;5:1;6:3;8:4;10:14;12:9;15:13;16:7;17:18;
ttttttttt;20190301:0:0:0:0:0:0:0:0:0;1:15;3:8;4:10;7:17;9:2;11:16;13:5;14:6;18:12;
ttttttttt;20190308:0:0:0:0:0:0:0:0:0;2:4;5:7;6:13;8:9;10:3;12:1;15:14;16:18;17:11;
ttttttttt;20190315:0:0:0:0:0:0:0:0:0;1:10;3:16;4:6;5:15;7:2;11:12;13:8;14:17;18:9;
ttttttttt;20190329:0:0:0:0:0:0:0:0:0;2:3;6:1;8:18;9:11;10:5;12:7;15:4;16:14;17:13;
ttttttttt;20190405:0:0:0:0:0:0:0:0:0;1:17;3:12;4:16;5:6;7:9;11:18;13:2;14:8;15:10;
ttttttttt;20190412:0:0:0:0:0:0:0:0:0;2:1;6:15;8:5;9:3;11:14;12:4;16:13;17:10;18:7;
ttttttttt;20190419:0:0:0:0:0:0:0:0:0;1:16;3:18;4:9;5:17;7:11;10:6;13:12;14:2;15:8;
ttttttttt;20190426:0:0:0:0:0:0:0:0:0;2:10;7:4;8:1;9:14;11:3;12:5;16:6;17:15;18:13;
ttttttttt;20190503:0:0:0:0:0:0:0:0:0;1:9;3:7;4:18;5:16;6:17;10:8;13:11;14:12;15:2;
ttttttttt;20190510:7:7:7:7:7:7:7:7:7;2:5;3:14;7:13;8:17;9:10;11:4;12:6;16:15;18:1;
ttttttttt;20190517:7:7:7:7:7:7:7:7:7;1:7;4:3;5:11;6:8;10:16;13:9;14:18;15:12;17:2;
