18:12+{2:1};1:11+{0:0};2:5+{0:0};3:16+{0:4};4:14+{2:1};6:13+{4:1};8:15+{1:1};9:20+{0:0};17:19+{1:2};7:10+{2:0};
13:8+{1:3};16:18+{2:2};5:17+{1:1};11:4+{1:1};12:9+{0:0};14:2+{1:1};19:7+{0:2};20:6+{1:1};10:3+{0:2};15:1+{2:0};
6:12+{3:1};2:11+{1:0};1:4;3:19;7:5;8:20;9:16;15:13;17:14;18:10;
14:7;19:18;5:3;10:9;11:17;12:8;13:1;20:15;4:2;16:6;
3:14;7:11;9:19;13:20;18:5;15:12;1:2;8:16;17:4;6:10;
14:18;4:7;5:9;10:8;11:3;12:13;19:6;20:1;2:17;16:15;
1:17;3:4;6:5;7:2;8:19;9:14;13:16;15:10;18:11;20:12;
4:18;17:7;5:8;10:13;11:9;12:1;14:6;16:20;19:15;2:3;
18:2;1:7;3:17;6:11;8:14;9:4;12:16;13:19;15:5;20:10;
16:1;2:9;5:13;10:12;19:20;11:8;4:6;7:3;14:15;17:18;
16:10;20:5;1:3;8:4;9:17;12:19;15:11;18:7;6:2;13:14;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
