10;0,1900;1,1400;2,1300;2,1400;3,1900;1,1900;15,1900;18,1900;2,1500;33,1900;
tttttttttt;20180727:1:2:2:2:2:2:2:3:4:5;1:3;2:18;8:10;11:14;12:4;15:13;17:5;19:6;20:9;16:7;
tttttttttt;20180803:1:2:2:2:2:2:2:2:3:4;6:1;3:15;5:20;9:12;10:11;13:8;14:2;18:16;4:19;7:17;
tttttttttt;20180807:1:1:1:1:1:6:6:6:6:6;1:15;2:10;8:3;11:13;12:5;6:4;16:14;17:18;19:9;20:7;
tttttttttt;20180810:1:2:2:2:2:2:2:3:4:5;3:11;4:1;7:12;9:6;13:2;14:17;15:8;18:20;5:19;10:16;
tttttttttt;20180824:1:2:2:2:2:2:2:3:4:5;20:14;2:3;4:9;6:5;12:18;17:10;19:7;16:13;1:8;11:15;
tttttttttt;20180831:1:2:2:2:2:2:2:3:4:5;18:19;3:16;5:4;7:6;9:1;10:20;13:17;15:2;8:11;14:12;
tttttttttt;20180914:1:2:2:2:2:2:2:3:4:5;1:11;4:7;6:18;12:10;17:3;19:14;20:13;16:15;9:5;2:8;
tttttttttt;20180921:1:2:2:2:2:2:2:2:3:4;10:19;3:20;5:1;7:9;8:16;11:2;14:6;18:4;15:17;13:12;
tttttttttt;20180925:1:1:1:1:1:6:6:6:6:7;1:2;4:14;5:7;6:10;16:11;9:18;12:3;17:8;20:15;19:13;
tttttttttt;20180928:1:2:2:2:2:2:3:4:5:8;10:4;2:16;3:19;7:1;8:20;14:9;11:17;15:12;18:5;13:6;
tttttttttt;20181005:1:2:2:2:2:2:2:3:4:5;6:3;1:16;9:10;12:8;17:2;19:15;20:11;7:18;4:13;5:14;
tttttttttt;20181019:1:2:2:2:2:2:2:3:4:4;11:12;2:20;8:19;13:9;14:7;16:17;18:1;15:6;3:4;10:5;
tttttttttt;20181026:1:2:2:2:2:2:2:3:4:5;1:17;4:15;5:13;6:8;9:3;19:11;20:16;18:14;7:10;12:2;
tttttttttt;20181102:1:2:2:2:2:2:2:3:4:5;2:19;3:5;10:18;11:6;14:1;15:9;16:12;13:7;8:4;17:20;
tttttttttt;20181109:1:2:2:2:2:2:2:3:4:5;5:15;1:20;6:2;7:3;12:17;18:13;19:16;9:8;14:10;4:11;
tttttttttt;20181123:1:2:2:2:2:2:2:3:4:5;16:6;8:5;11:9;13:14;15:7;17:19;20:12;3:18;2:4;10:1;
tttttttttt;20181130:1:2:2:2:2:2:2:4:4:5;9:2;1:12;4:16;5:11;10:13;18:15;19:20;7:8;14:3;6:17;
tttttttttt;20181207:1:2:2:2:2:2:2:3:4:5;11:7;1:13;2:5;3:10;8:18;17:4;20:6;16:9;12:19;15:14;
tttttttttt;20181214:1:2:2:2:2:2:2:3:4:5;14:8;6:12;7:2;9:17;10:15;13:3;19:1;18:11;5:16;4:20;
tttttttttt;20181221:1:2:2:2:2:2:2:2:3:4;4:12;3:1;5:17;6:19;7:16;10:8;13:15;18:2;9:20;14:11;
tttttttttt;20190125:1:2:2:2:2:2:4:9:8:10;16:18;2:14;8:13;11:10;17:7;19:4;1:6;20:5;15:3;12:9;
tttttttttt;20190201:0:1:2:2:2:2:2:2:3:5;9:19;10:2;3:8;5:12;7:20;13:11;14:16;18:17;4:6;15:1;
tttttttttt;20190208:1:2:2:2:2:2:2:3:4:5;17:14;2:13;6:9;8:15;11:3;19:5;20:18;12:7;1:4;16:10;
tttttttttt;20190215:1:2:2:2:2:2:2:3:4:5;9:4;3:2;7:19;8:1;10:17;13:16;14:20;5:6;15:11;18:12;
tttttttttt;20190222:1:2:2:2:2:2:2:4:4:5;12:14;1:9;6:7;11:8;16:3;17:13;19:18;2:15;4:5;20:10;
tttttttttt;20190301:1:2:2:2:2:2:2:3:4:5;13:20;3:17;7:4;8:2;10:12;14:19;15:16;11:1;18:6;5:9;
tttttttttt;20190308:1:2:2:2:2:2:2:2:4:4;20:3;1:5;4:18;6:14;9:7;16:8;17:15;19:10;2:11;12:13;
tttttttttt;20190312:1:1:1:1:1:6:6:6:6:6;7:5;8:17;10:6;15:20;18:9;2:1;3:12;11:16;13:19;14:4;
tttttttttt;20190315:1:2:2:2:2:2:2:3:4:5;20:8;4:10;5:18;9:14;12:15;16:2;17:11;19:3;1:7;6:13;
tttttttttt;20190322:1:2:2:2:2:2:2:3:4:5;8:12;3:6;10:9;11:20;13:4;14:5;18:7;2:17;16:1;15:19;
tttttttttt;20190329:1:2:2:2:2:2:2:3:4:5;20:2;1:18;5:10;6:15;7:14;9:13;19:8;12:11;4:3;17:16;
tttttttttt;20190405:1:2:2:2:2:2:2:3:4:5;10:7;2:12;3:9;11:19;13:5;15:4;16:20;8:6;17:1;14:18;
tttttttttt;20190412:0:0:0:0:0:0:0:0:0:0;1:14;4:8;5:3;6:11;7:13;9:15;12:16;18:10;19:2;20:17;
tttttttttt;20190419:0:0:0:0:0:0:0:0:0:0;2:6;3:7;8:9;10:14;11:4;13:18;15:5;16:19;17:12;20:1;
tttttttttt;20190426:0:0:0:0:0:0:0:0:0:0;1:10;4:2;5:8;6:16;7:15;9:11;12:20;14:13;18:3;19:17;
tttttttttt;20190503:0:0:0:0:0:0:0:0:0:0;2:9;3:14;8:7;11:5;12:1;13:10;15:18;16:4;17:6;20:19;
tttttttttt;20190510:0:0:0:0:0:0:0:0:0:0;4:17;5:2;6:20;7:11;9:16;10:3;13:1;14:15;18:8;19:12;
tttttttttt;20190517:0:0:0:0:0:0:0:0:0:0;1:19;2:7;3:13;8:14;11:18;12:6;15:10;16:5;17:9;20:4;
