10;0,1900;1,1400;2,1300;2,1400;3,1900;2,1500;0,1830;1,1900;4,1900;25,1900;
tttttttttt;20220722:1:2:2:2:2:2:2:3:4:5;6:15;1:4;3:19;5:13;7:16;17:18;20:12;11:2;10:14;8:9;
tttttttttt;20220805:1:2:2:2:2:2:2:3:4:6;15:17;4:20;12:10;13:8;14:1;18:7;19:11;9:3;2:6;16:5;
tttttttttt;20220809:7:1:1:1:1:8:8:8:8:8;20:18;4:12;10:15;11:14;17:13;1:16;5:2;6:3;7:9;8:19;
tttttttttt;20220812:1:2:2:2:2:2:2:3:4:5;14:20;3:7;9:17;13:1;16:4;18:10;19:6;12:5;2:8;15:11;
tttttttttt;20220819:1:2:2:2:2:2:2:3:4:5;4:14;1:18;5:9;7:2;8:6;11:13;17:3;20:16;12:15;10:19;
tttttttttt;20220826:1:2:2:2:2:2:2:3:4:5;14:12;3:8;6:7;13:4;16:10;18:5;19:17;9:11;2:1;15:20;
tttttttttt;20220902:1:2:2:2:2:2:2:3:4:5;17:2;1:9;4:15;5:19;11:3;14:16;20:6;12:18;10:13;7:8;
tttttttttt;20220909:1:2:2:2:2:2:2:3:4:5;6:17;3:5;8:11;9:20;13:14;18:4;19:7;15:1;2:10;16:12;
tttttttttt;20220916:1:2:2:2:2:2:2:3:4:5;4:2;1:3;5:8;10:9;12:13;14:18;20:19;11:6;16:15;17:7;
tttttttttt;20220930:1:2:2:2:2:2:2:3:4:5;2:12;6:5;7:11;9:4;15:14;18:16;19:1;13:20;8:17;3:10;
tttttttttt;20221007:1:2:2:2:2:2:2:3:4:5;16:13;4:3;5:7;10:8;12:19;18:15;20:2;1:6;11:17;14:9;
tttttttttt;20221014:1:2:2:2:2:2:2:3:4:5;2:14;3:12;6:4;7:10;11:5;13:18;17:1;19:16;9:15;8:20;
tttttttttt;20221021:1:2:2:2:2:2:2:3:4:5;10:11;1:7;4:8;5:17;12:9;15:13;18:6;20:3;16:2;14:19;
tttttttttt;20221028:1:2:2:2:2:2:2:3:4:5;8:15;2:18;5:1;7:12;9:16;17:10;19:4;11:20;3:13;6:14;
tttttttttt;20221104:1:2:2:2:2:2:2:3:4:6;12:8;1:11;13:2;14:5;15:19;16:3;18:9;20:17;10:6;4:7;
tttttttttt;20221108:1:1:1:1:1:8:8:8:8:8;2:15;3:14;8:1;9:13;19:18;5:10;6:16;7:20;11:4;17:12;
tttttttttt;20221111:1:2:2:2:2:2:2:3:4:5;9:2;1:10;12:6;14:7;15:3;16:8;18:11;20:5;13:19;4:17;
tttttttttt;20230113:1:2:2:2:2:2:2:3:4:5;10:20;5:4;6:13;7:15;8:18;11:16;17:14;1:12;19:9;3:2;
tttttttttt;20230120:1:2:2:2:2:2:3:4:5:9;13:7;2:19;4:10;12:11;16:17;18:3;20:1;14:8;15:5;9:6;
tttttttttt;20230127:1:2:2:2:2:2:2:3:4:5;18:17;2:11;12:20;14:10;15:6;16:7;19:3;13:5;9:8;4:1;
tttttttttt;20230203:1:2:2:2:2:2:2:3:4:5;11:19;1:14;3:9;6:2;7:18;8:13;10:12;20:4;17:15;5:16;
tttttttttt;20230210:1:2:2:2:2:2:2:3:4:5;2:5;9:7;12:4;14:11;15:10;16:1;18:20;3:6;19:8;13:17;
tttttttttt;20230217:1:2:2:2:2:2:2:3:4:5;8:2;1:13;5:12;6:19;7:3;10:18;11:15;4:16;17:9;20:14;
tttttttttt;20230224:1:2:2:2:2:2:2:3:4:5;14:4;3:17;6:8;9:5;15:12;16:20;19:10;18:1;2:7;13:11;
tttttttttt;20230303:1:2:2:2:2:2:2:3:4:5;11:9;1:2;4:13;7:6;8:3;10:16;12:14;17:19;20:15;5:18;
tttttttttt;20230310:1:2:2:2:2:2:2:3:4:6;16:14;2:17;6:20;13:10;15:4;18:12;19:5;3:11;8:7;9:1;
tttttttttt;20230314:1:1:1:1:1:8:8:8:8:8;4:18;10:2;12:16;14:13;17:6;1:15;5:3;7:19;11:8;20:9;
tttttttttt;20230317:1:2:2:2:2:2:2:3:4:5;13:12;2:4;6:11;7:17;8:5;15:16;19:20;18:14;9:10;3:1;
tttttttttt;20230324:1:2:2:2:2:2:2:3:4:5;14:15;1:19;5:6;12:2;16:18;17:8;20:13;4:9;10:3;11:7;
tttttttttt;20230331:1:2:2:2:2:2:3:4:5:10;19:12;2:20;8:10;9:14;13:16;17:11;6:1;7:5;3:4;15:18;
tttttttttt;20230407:2:2:2:2:2:2:3:4:6:5;1:17;4:6;5:11;14:2;15:9;20:8;12:3;10:7;16:19;18:13;
tttttttttt;20230414:1:2:2:2:2:2:2:3:4:5;7:1;2:16;3:20;6:18;8:4;9:12;19:14;11:10;17:5;13:15;
tttttttttt;20230421:1:2:2:2:2:2:2:3:4:5;14:6;1:5;4:19;13:3;15:8;18:2;20:11;12:7;10:17;16:9;
tttttttttt;20230428:1:2:2:2:2:2:2:3:4:6;5:14;2:13;3:16;8:12;9:18;11:1;19:15;6:10;7:4;17:20;
tttttttttt;20230505:0:0:0:0:0:0:0:0:0:0;1:8;4:11;10:5;12:17;13:9;14:3;15:2;16:6;18:19;20:7;
tttttttttt;20230512:0:0:0:0:0:0:0:0:0:0;2:9;3:15;5:20;6:12;7:14;8:16;10:1;11:18;17:4;19:13;
tttttttttt;20230519:0:0:0:0:0:0:0:0:0:0;2:3;4:5;9:19;12:1;13:6;14:17;15:7;16:11;18:8;20:10;
tttttttttt;20230526:0:0:0:0:0:0:0:0:0:0;1:20;3:18;5:15;6:9;7:13;8:14;10:4;11:12;17:16;19:2;
