9;0,1530;1,1730;-1,2030;0,2000;1,2000;10,1800;11,1800;3,1800;1,1845;
ttttttttt;20050806:3:1:1:1:1:1:1:2:2;1:15;3:13;8:14;9:7;10:4;16:11;17:5;2:12;18:6;
ttttttttt;20050813:1:1:1:1:1:1:1:2:2;4:18;6:1;7:2;12:17;13:8;14:10;15:9;5:16;11:3;
ttttttttt;20050827:1:1:1:1:1:1:1:2:2;1:4;2:15;3:5;8:10;9:6;16:12;18:14;13:11;17:7;
ttttttttt;20050910:1:1:1:1:1:1:1:2:2;5:13;6:2;10:18;11:8;12:3;14:1;15:17;4:9;7:16;
ttttttttt;20050917:1:1:1:1:1:1:1:2:2;1:10;3:7;8:18;9:14;11:5;13:12;16:15;2:4;17:6;
ttttttttt;20050920:4:4:4:4:5:5:5:5:5;7:13;10:9;15:3;18:1;4:17;5:8;6:16;12:11;14:2;
ttttttttt;20050924:1:1:1:1:1:1:1:2:2;2:10;3:6;8:1;9:18;11:7;13:15;17:14;5:12;16:4;
ttttttttt;20051001:1:1:1:1:1:1:1:2:2;1:9;4:3;6:13;10:17;14:16;15:11;18:2;7:5;12:8;
ttttttttt;20051015:1:1:1:1:1:1:1:2:2;2:1;3:14;5:15;8:9;11:6;12:7;13:4;16:10;17:18;
ttttttttt;20051022:1:1:1:1:1:1:1:2:2;1:17;4:11;9:2;10:3;14:13;15:12;18:16;6:5;7:8;
ttttttttt;20051029:1:1:1:1:1:1:1:2:2;3:18;5:4;7:15;8:2;12:6;16:1;17:9;11:14;13:10;
ttttttttt;20051105:1:1:1:1:1:1:1:2:2;1:3;2:17;4:12;6:7;9:16;10:11;18:13;14:5;15:8;
ttttttttt;20051119:1:1:1:1:1:1:1:2:2;3:9;7:4;11:18;12:14;13:1;15:6;16:2;5:10;8:17;
ttttttttt;20051126:1:1:1:1:1:1:2:2:6;1:11;2:3;6:8;9:13;10:12;14:7;4:15;18:5;17:16;
ttttttttt;20051203:1:1:1:1:1:1:2:2:7;3:17;5:1;7:10;8:16;13:2;15:14;6:4;11:9;12:18;
ttttttttt;20051210:1:1:1:1:1:1:1:2:2;2:11;8:4;9:5;10:15;14:6;17:13;18:7;1:12;16:3;
ttttttttt;20051217:1:1:1:1:1:1:1:2:2;5:2;6:10;7:1;11:17;12:9;13:16;15:18;3:8;4:14;
ttttttttt;20060128:3:1:1:1:1:1:1:2:2;15:1;4:10;5:17;6:18;7:9;11:16;14:8;12:2;13:3;
ttttttttt;20060204:1:1:1:1:1:1:1:2:2;1:6;2:7;3:11;8:13;16:5;17:12;18:4;9:15;10:14;
ttttttttt;20060207:4:4:4:4:5:5:5:5:5;4:1;7:17;11:13;12:16;5:3;6:9;10:8;14:18;15:2;
ttttttttt;20060211:1:1:1:1:1:1:1:2:2;2:6;3:12;8:11;9:4;13:5;17:15;18:10;1:14;16:7;
ttttttttt;20060218:1:1:1:1:1:1:1:2:2;4:2;6:17;7:3;10:1;12:13;14:9;15:16;5:11;18:8;
ttttttttt;20060225:1:1:1:1:1:1:1:2:2;1:18;2:14;3:15;9:10;11:12;13:7;16:6;8:5;17:4;
ttttttttt;20060304:1:1:1:1:1:1:2:2:8;1:8;4:16;6:3;7:11;10:2;14:17;15:13;18:9;12:5;
ttttttttt;20060311:1:1:1:1:1:1:1:2:9;3:4;5:7;9:1;11:15;13:6;16:14;17:10;2:18;8:12;
ttttttttt;20060318:1:1:1:1:1:1:1:2:2;6:11;7:12;9:8;10:16;14:3;15:5;18:17;1:2;4:13;
ttttttttt;20060325:1:1:1:1:1:1:1:2:2;2:9;3:10;5:6;8:7;11:4;16:18;17:1;12:15;13:14;
ttttttttt;20060401:1:1:1:1:1:1:1:2:2;1:16;4:5;6:12;9:17;14:11;15:7;18:3;2:8;10:13;
ttttttttt;20060408:1:1:1:1:1:1:1:2:2;3:1;5:14;7:6;11:10;12:4;13:18;16:9;8:15;17:2;
ttttttttt;20060415:1:1:1:1:1:1:1:2:2;1:13;2:16;4:7;6:15;9:3;17:8;18:11;10:5;14:12;
ttttttttt;20060422:1:1:1:1:1:1:1:2:2;5:18;7:14;8:6;12:10;13:9;15:4;16:17;3:2;11:1;
ttttttttt;20060502:4:4:4:4:5:5:5:5:5;4:6;10:7;14:15;16:8;1:5;2:13;9:11;17:3;18:12;
ttttttttt;20060506:1:1:1:1:1:1:1:1:1;3:16;4:8;5:9;6:14;7:18;11:2;12:1;13:17;15:10;
ttttttttt;20060513:1:1:1:1:1:1:1:1:1;1:7;2:5;8:3;9:12;10:6;14:4;16:13;17:11;18:15;
