9;0,2030;1,1530;1,1830;2,1530;2,1730;0,2000;1,2000;12,1845;-1,2030;
ttttttttt;20100820:1:2:2:2:2:2:3:4:5;1:8;11:3;12:16;13:17;14:18;15:10;7:2;9:6;5:4;
ttttttttt;20100827:1:2:2:2:2:2:3:4:5;17:1;2:15;3:13;8:9;10:7;16:14;18:11;4:12;6:5;
ttttttttt;20100910:1:2:2:2:2:2:3:4:5;11:2;5:8;7:16;12:10;14:6;15:4;1:3;9:17;13:18;
ttttttttt;20100917:1:2:2:2:2:2:4:5:5;10:14;1:13;3:9;6:12;8:15;17:11;18:7;2:5;4:16;
ttttttttt;20100921:6:6:6:7:7:7:7:7:7;9:13;11:1;15:3;4:10;5:17;7:8;12:18;14:2;16:6;
ttttttttt;20100924:1:2:2:2:2:2:3:4:5;13:11;1:9;2:12;6:4;10:16;18:5;3:7;8:14;17:15;
ttttttttt;20101001:1:2:2:2:2:2:4:5:5;15:18;7:17;9:11;12:8;14:13;16:2;6:10;4:3;5:1;
ttttttttt;20101015:1:2:2:2:2:2:3:4:5;13:5;1:15;2:6;3:14;9:7;18:16;8:4;17:10;11:12;
ttttttttt;20101022:1:2:2:2:2:2:4:5:5;7:1;10:2;12:3;14:17;15:13;16:8;5:11;4:9;6:18;
ttttttttt;20101029:1:2:2:2:2:2:3:4:5;1:14;3:16;8:6;13:7;17:12;18:10;2:4;9:5;11:15;
ttttttttt;20101105:1:2:2:2:2:2:4:5:5;2:18;7:11;10:8;12:1;14:9;16:13;15:5;4:17;6:3;
ttttttttt;20101112:1:2:2:2:2:2:3:4:5;5:7;3:10;8:2;13:12;17:6;18:4;9:15;11:14;1:16;
ttttttttt;20101119:2:2:2:2:2:2:3:4:5;2:3;10:11;12:9;14:5;15:7;16:17;4:1;6:13;18:8;
ttttttttt;20101126:1:2:2:2:2:2:3:4:5;9:16;1:10;7:6;11:4;15:14;17:2;5:12;3:18;13:8;
ttttttttt;20101203:1:2:2:2:2:2:3:4:5;18:17;6:11;8:3;10:9;12:15;14:7;2:1;4:13;16:5;
ttttttttt;20101210:1:2:2:2:2:2:3:4:5;15:6;1:18;7:4;11:16;13:10;17:8;5:3;14:12;9:2;
ttttttttt;20101217:1:2:2:2:2:2:3:4:5;12:7;2:13;3:17;8:11;10:5;16:15;18:9;4:14;6:1;
ttttttttt;20110114:1:2:2:2:2:2:3:4:5;4:5;3:11;6:9;8:1;16:12;18:14;2:7;10:15;17:13;
ttttttttt;20110121:1:2:2:2:2:2:3:4:5;7:10;1:17;5:6;9:8;14:16;15:2;13:3;12:4;11:18;
ttttttttt;20110128:1:2:2:2:2:2:3:4:5;4:15;2:11;3:1;8:5;16:7;18:13;17:9;6:14;10:12;
ttttttttt;20110204:1:2:2:2:2:2:3:5:8;5:2;9:3;11:17;13:1;15:8;16:4;12:6;14:10;7:18;
ttttttttt;20110211:2:2:2:2:2:2:3:4:5;1:11;2:14;6:16;8:7;10:4;18:12;17:5;13:9;3:15;
ttttttttt;20110218:1:2:2:2:2:2:3:4:5;16:10;5:18;7:3;11:13;14:8;15:17;9:1;4:6;12:2;
ttttttttt;20110225:1:2:2:2:2:2:3:4:5;8:12;2:16;11:9;13:14;17:7;18:15;1:5;10:6;3:4;
ttttttttt;20110304:1:2:2:2:2:2:3:4:5;5:13;6:2;10:17;12:11;15:1;16:18;4:8;14:3;7:9;
ttttttttt;20110311:1:2:2:2:2:2:3:4:5;13:15;1:7;2:10;8:16;11:5;17:14;3:12;9:4;18:6;
ttttttttt;20110318:1:2:2:2:2:2:3:4:5;12:17;7:13;10:18;14:1;15:11;16:3;5:9;4:2;6:8;
ttttttttt;20110401:1:2:2:2:2:2:3:4:5;18:2;1:12;3:6;5:15;9:14;17:4;11:7;13:16;8:10;
ttttttttt;20110408:1:2:2:2:2:2:3:4:5;10:3;2:8;7:5;14:11;15:9;16:1;6:17;12:13;4:18;
ttttttttt;20110415:1:2:2:2:2:2:3:4:5;9:12;7:15;8:18;11:10;13:6;17:16;3:2;1:4;5:14;
ttttttttt;20110422:9:2:2:2:2:2:3:4:5;14:15;2:17;4:11;6:7;10:1;18:3;12:5;8:13;16:9;
ttttttttt;20110429:1:1:2:2:2:2:2:2:3;3:8;17:18;5:16;7:14;9:10;11:6;13:4;15:12;1:2;
ttttttttt;20110506:2:2:2:2:2:2:2:2:2;2:9;3:5;4:7;6:15;8:17;10:13;12:14;16:11;18:1;
ttttttttt;20110513:2:2:2:2:2:2:2:2:2;1:6;5:10;7:12;9:18;11:8;13:2;14:4;15:16;17:3;
