10;0,2030;1,1530;1,1830;2,1530;2,1730;-3,1830;40,2000;0,2000;1,2000;-1,2030;
ttttttttt;20130809:0:1:1:1:1:1:2:3:4;1:8;16:10;3:5;9:11;15:2;17:6;18:14;13:12;4:7;
ttttttttt;20130816:1:1:1:1:1:1:2:3:4;12:3;11:4;14:15;5:13;7:16;6:1;8:9;10:17;2:18;
ttttttttt;20130823:0:1:1:1:1:1:2:3:4;2:14;1:10;3:8;9:4;13:11;16:5;17:7;18:6;15:12;
ttttttttt;20130830:5:1:1:1:1:1:2:3:4;5:1;8:14;9:13;10:15;11:17;7:18;4:3;12:16;6:2;
ttttttttt;20130913:0:1:1:1:1:1:2:3:4;17:12;1:9;3:11;13:4;14:6;15:5;2:7;16:8;18:10;
ttttttttt;20130920:0:1:1:1:1:1:2:3:4;8:18;9:15;11:16;10:2;13:3;7:14;4:1;5:17;12:6;
ttttttttt;20130927:0:1:1:1:1:1:2:3:4;15:8;2:5;1:11;3:9;16:4;17:13;6:7;14:10;18:12;
ttttttttt;20131004:0:1:1:1:1:1:2:3:4;9:17;4:15;8:2;12:14;11:18;13:16;3:1;10:7;5:6;
ttttttttt;20131018:0:1:1:1:1:1:2:3:4;16:3;2:9;1:13;14:5;18:4;6:10;17:8;7:12;15:11;
ttttttttt;20131025:0:1:1:1:1:1:2:3:4;12:10;1:17;4:2;3:15;9:16;13:18;11:14;5:7;8:6;
ttttttttt;20131101:0:1:1:1:1:1:2:3:4;2:12;10:5;16:1;7:8;18:3;17:4;6:11;15:13;14:9;
ttttttttt;20131108:0:1:1:1:1:1:2:3:4;9:18;1:15;4:14;3:7;11:2;16:17;8:10;13:6;5:12;
ttttttttt;20131122:0:1:1:1:1:1:2:3:4;12:8;10:11;15:16;18:5;6:4;17:3;2:1;7:9;14:13;
ttttttttt;20131129:0:1:1:1:1:1:2:3:4;11:7;1:18;3:10;16:14;13:2;17:15;4:12;9:6;8:5;
ttttttttt;20131206:0:1:1:1:1:1:2:3:4;10:13;8:4;12:9;14:1;7:15;6:16;2:3;5:11;18:17;
ttttttttt;20131213:0:1:1:1:1:1:2:3:4;17:14;1:7;9:10;16:2;13:8;15:18;11:12;4:5;3:6;
ttttttttt;20131220:0:1:1:1:1:1:2:3:6;6:15;2:17;14:3;5:9;7:13;18:16;10:4;8:11;12:1;
ttttttttt;20140124:0:1:1:1:1:1:2:3:4;8:1;2:15;12:13;11:9;10:16;5:3;6:17;14:18;7:4;
ttttttttt;20140131:0:1:1:1:1:1:2:3:4;18:2;4:11;3:12;16:7;13:5;15:14;9:8;17:10;1:6;
ttttttttt;20140207:0:1:1:1:1:1:2:3:4;8:3;11:13;14:2;10:1;5:16;6:18;7:17;12:15;4:9;
ttttttttt;20140214:0:1:1:1:1:1:2:3:4;13:9;2:6;1:5;14:8;16:12;18:7;3:4;15:10;17:11;
ttttttttt;20140221:0:1:1:1:1:1:2:3:4;4:13;8:16;12:17;10:18;5:15;7:2;11:3;6:14;9:1;
ttttttttt;20140228:0:1:1:1:1:1:2:3:4;17:5;2:10;3:13;14:7;15:9;18:8;1:4;16:11;6:12;
ttttttttt;20140307:1:1:1:1:1:1:2:3:4;4:16;8:15;12:18;9:3;11:1;7:6;10:14;5:2;13:17;
ttttttttt;20140314:0:1:1:1:1:1:2:3:4;15:4;2:8;14:12;16:13;18:11;17:9;1:3;7:10;6:5;
ttttttttt;20140321:0:1:1:1:1:1:2:3:4;5:14;4:18;12:7;9:2;11:15;13:1;8:17;10:6;3:16;
ttttttttt;20140325:7:7:7:7:8:8:8:8:8;2:4;14:11;18:13;17:1;10:12;16:9;15:3;7:5;6:8;
ttttttttt;20140328:0:1:1:1:1:1:2:3:4;4:17;1:16;3:18;12:2;11:6;13:15;5:10;8:7;9:14;
ttttttttt;20140404:0:1:1:1:1:1:2:3:4;7:3;12:5;14:4;10:8;15:1;6:13;2:11;18:9;17:16;
ttttttttt;20140411:0:1:1:1:1:1:2:3:4;4:6;8:12;9:7;11:10;5:18;13:14;1:2;3:17;16:15;
ttttttttt;20140418:9:1:1:1:1:1:2:3:4;6:9;2:13;14:16;5:8;15:17;18:1;7:11;10:3;12:4;
ttttttttt;20140425:0:1:1:1:1:1:2:3:4;9:12;1:14;11:5;16:6;13:10;17:18;3:2;15:7;4:8;
ttttttttt;20140502:1:1:1:1:1:1:1:1:1;2:16;8:13;12:11;14:17;10:9;5:4;7:1;18:15;6:3;
ttttttttt;20140509:1:1:1:1:1:1:1:1:1;1:12;4:10;3:14;9:5;11:8;16:18;13:7;15:6;17:2;


