1:5+{2:1};9:8+{2:0};10:3+{2:1};11:12+{2:2};13:14+{1:0};17:16+{0:0};2:4+{0:2};18:7+{2:2};6:15+{1:1};
8:2+{2:3};4:11+{4:2};5:13+{2:2};12:9+{1:1};15:17+{0:2};16:18+{0:3};3:1+{1:1};7:10+{0:0};14:6+{0:0};
4:12+{3:3};1:15+{2:0};2:14+{3:1};9:5+{1:1};11:7+{1:3};18:17+{0:0};6:3+{4:1};13:8+{0:1};10:16+{2:0};
14:11+{2:2};3:13+{2:2};8:12+{4:2};15:9+{0:2};16:1+{0:0};18:10+{2:0};7:2+{2:0};5:4+{4:1};17:6+{0:0};
1:18+{4:0};9:14+{3:3};12:3+{0:3};13:7+{2:2};2:15+{2:2};4:8+{1:0};6:16+{1:0};10:17+{1:0};11:5+{1:0};
7:9+{0:0};3:2+{2:1};14:4+{0:0};15:10+{1:0};17:1+{0:2};18:6+{1:2};5:12+{2:1};8:11+{1:0};16:13+{1:2};
11:15+{3:2};1:10+{4:0};2:16+{0:1};4:18+{2:2};9:3+{2:1};12:14+{1:1};13:17+{3:2};5:8+{1:0};6:7+{1:1};
1:12+{6:0};7:8+{2:1};10:6+{0:3};14:5+{1:2};15:4+{3:3};17:2+{2:1};3:11+{2:0};16:9+{1:1};18:13+{3:1};
12:17+{0:1};2:10+{0:1};8:14+{2:0};9:18+{1:0};11:16+{3:0};13:15+{4:5};4:3+{1:0};5:7+{3:0};6:1+{0:0};
3:8+{1:0};7:12+{1:2};10:13+{1:0};15:5+{0:4};16:4+{1:0};1:2+{2:1};6:9+{3:1};17:14+{0:1};18:11+{3:1};
11:10+{0:2};4:7+{0:0};8:18+{3:0};9:17+{3:4};13:1+{0:4};14:3+{2:0};12:15+{2:0};5:16+{2:0};2:6+{1:0};
1:9+{4:0};3:5+{3:2};6:13+{1:3};7:14+{2:2};10:4+{1:3};18:2+{2:2};17:11+{1:2};16:12+{2:0};15:8+{0:1};
14:15+{1:4};3:7+{4:1};4:17+{5:1};8:16+{3:1};11:1+{0:1};12:18+{4:0};9:10+{4:3};5:6+{1:0};13:2+{2:0};
2:9+{1:0};6:11+{3:2};10:5+{1:3};15:3+{0:4};17:8+{1:2};18:14+{1:1};1:4+{1:0};16:7+{2:1};13:12+{5:2};
