1:16;2:9;4:8;5:15;7:3;10:6;11:17;14:12;18:13;
3:11;6:18;8:1;9:5;12:2;13:4;15:10;16:14;17:7;
1:4;2:6;5:17;7:15;10:3;11:13;12:16;14:9;18:8;
1:5;3:16;4:18;6:11;8:10;9:12;13:7;15:14;17:2;
2:15;5:13;7:4;10:17;11:8;12:3;14:6;16:9;18:1;
1:2;3:5;4:11;6:9;8:7;13:14;15:12;17:16;18:10;
2:13;5:8;7:18;9:15;10:4;11:1;12:17;14:3;16:6;
1:7;3:2;4:5;6:12;8:14;13:10;15:16;17:9;18:11;
2:8;5:18;6:15;9:3;10:1;11:7;12:13;14:17;16:4;
1:12;3:6;4:14;7:5;8:16;11:10;13:9;17:15;18:2;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;
