9;0,2030;1,1530;1,1830;2,1530;2,1800;0,1830;1,2030;2,1330;3,2030;
ttttttttt;20180824:1:2:2:2:2:2:3:4:5;1:3;10:18;11:13;15:8;16:2;17:12;9:5;14:7;4:6;
ttttttttt;20180831:1:2:2:2:2:2:3:4:5;13:4;3:15;5:16;8:11;12:9;18:14;7:1;6:17;2:10;
ttttttttt;20180914:1:2:2:2:2:2:3:4:5;4:8;1:5;6:13;14:12;16:10;17:3;9:2;11:18;15:7;
ttttttttt;20180921:1:2:2:2:2:2:3:4:5;7:17;3:4;10:9;12:11;16:15;18:13;2:1;5:14;8:6;
ttttttttt;20180925:6:1:1:1:3:7:7:7:7;11:10;1:12;13:3;15:2;17:5;4:18;6:7;9:8;14:16;
ttttttttt;20180928:1:2:2:2:2:2:3:4:5;10:1;2:14;3:6;7:11;16:9;18:17;5:4;8:13;12:15;
ttttttttt;20181005:1:2:2:2:2:3:8:4:5;11:16;4:12;13:7;14:10;17:2;1:9;15:5;3:8;6:18;
ttttttttt;20181019:1:2:2:2:2:2:3:4:5;8:17;5:13;7:4;12:6;16:1;18:3;2:11;10:15;9:14;
ttttttttt;20181026:1:2:2:2:2:3:8:4:5;15:9;4:10;13:12;14:1;17:16;3:7;18:8;6:2;11:5;
ttttttttt;20181102:1:2:2:2:2:2:3:4:5;7:8;1:15;2:13;5:3;12:18;16:4;10:6;9:17;14:11;
ttttttttt;20181109:1:2:2:2:2:2:3:4:5;13:16;3:12;11:9;15:14;17:10;18:7;4:1;6:5;8:2;
ttttttttt;20181123:1:2:2:2:2:2:3:4:5;5:7;1:17;10:3;12:8;14:4;16:6;2:18;15:11;9:13;
ttttttttt;20181130:1:2:2:2:2:3:4:5:9;17:14;4:15;7:12;11:1;13:10;3:2;6:9;8:16;18:5;
ttttttttt;20181207:1:2:2:2:2:2:3:4:5;11:17;1:18;2:4;5:12;15:6;16:3;10:8;14:13;9:7;
ttttttttt;20181214:1:2:2:2:2:2:3:4:5;18:16;3:9;7:10;12:2;13:1;17:15;4:11;6:14;8:5;
ttttttttt;20181218:6:1:1:1:3:7:7:7:7;9:18;10:12;16:7;17:4;2:5;1:6;11:3;14:8;15:13;
ttttttttt;20181221:1:2:2:2:2:2:3:4:5;4:9;5:10;6:11;7:2;13:17;18:15;8:1;12:16;3:14;
ttttttttt;20190118:1:2:2:2:2:2:3:4:5;3:1;5:9;7:14;8:15;12:17;13:11;6:4;18:10;2:16;
ttttttttt;20190125:1:2:2:2:2:2:3:4:5;10:2;4:13;9:12;14:18;15:3;16:5;11:8;1:7;17:6;
ttttttttt;20190201:1:2:2:2:2:2:3:4:5;13:6;3:17;5:1;8:4;10:16;18:11;2:9;12:14;7:15;
ttttttttt;20190208:1:2:2:2:2:2:3:4:5;14:5;4:3;6:8;9:10;13:18;15:16;1:2;11:12;17:7;
ttttttttt;20190215:1:2:2:2:2:3:4:5:9;12:1;2:15;3:13;7:6;16:14;10:11;8:9;5:17;18:4;
ttttttttt;20190222:1:2:2:2:2:3:4:5:9;11:7;1:10;9:16;14:2;15:12;17:18;13:8;4:5;6:3;
ttttttttt;20190301:1:2:2:2:2:2:3:4:5;12:4;2:17;5:15;8:3;10:14;18:6;9:1;7:13;16:11;
ttttttttt;20190308:1:2:2:2:2:3:4:5:9;11:2;1:16;4:7;6:12;15:10;14:9;3:18;13:5;17:8;
ttttttttt;20190315:1:2:2:2:2:3:8:4:5;9:15;2:6;7:3;12:13;16:17;10:4;5:11;8:18;1:14;
ttttttttt;20190329:1:2:2:2:2:2:3:4:5;3:5;4:16;11:14;15:1;17:9;18:12;6:10;13:2;8:7;
ttttttttt;20190405:1:2:2:2:2:2:3:4:5;14:15;2:8;5:6;7:18;10:17;16:13;1:4;12:3;9:11;
ttttttttt;20190412:1:2:2:2:2:3:8:4:5;18:2;6:16;7:5;11:15;13:9;4:14;3:10;17:1;8:12;
ttttttttt;20190419:2:2:2:2:3:7:4:5:9;1:11;5:18;12:7;14:17;9:6;2:3;15:4;10:13;16:8;
ttttttttt;20190426:1:2:2:2:2:2:3:4:5;12:5;4:2;6:15;8:10;13:14;17:11;7:9;3:16;18:1;
ttttttttt;20190503:1:2:2:2:2:3:8:4:5;14:6;1:13;9:3;10:7;16:18;11:4;2:12;15:17;5:8;
ttttttttt;20190510:2:2:2:2:2:2:2:2:5;3:11;4:17;5:2;6:1;7:16;12:10;13:15;18:9;8:14;
ttttttttt;20190517:2:2:2:2:2:2:2:2:2;1:8;2:7;9:4;10:5;11:6;14:3;15:18;16:12;17:13;
