10;0,2030;1,1530;1,1830;2,1530;2,1800;3,2030;2,1330;0,1830;1,2030;0,2000;
ttttttttt;20190816:1:2:2:2:2:2:3:4:5;1:11;2:15;4:17;6:16;8:10;13:12;5:14;7:9;18:3;
ttttttttt;20190823:1:2:2:2:2:2:3:4:5;16:2;9:8;10:4;12:5;15:18;17:13;14:1;3:7;11:6;
ttttttttt;20190830:1:2:2:2:2:2:3:4:5;5:3;1:12;4:9;6:17;13:16;14:11;18:2;8:15;7:10;
ttttttttt;20190913:1:2:2:2:2:2:3:4:5;10:6;2:4;12:11;15:7;16:5;18:8;3:1;9:13;17:14;
ttttttttt;20190920:1:2:2:2:2:3:4:5:6;14:12;1:16;4:18;11:17;13:15;8:3;5:10;7:2;6:9;
ttttttttt;20190927:1:2:2:2:2:2:3:4:5;18:7;3:14;9:5;12:6;15:4;17:1;2:8;10:13;16:11;
ttttttttt;20191004:1:2:2:2:2:3:7:4:5;11:10;1:9;4:3;13:2;17:12;14:16;5:15;6:18;7:8;
ttttttttt;20191018:1:2:2:2:2:2:3:4:5;7:4;3:6;8:11;10:12;15:1;18:13;2:5;16:17;9:14;
ttttttttt;20191025:1:2:2:2:2:2:3:4:5;12:16;1:18;11:9;13:3;14:2;17:10;4:8;6:15;5:7;
ttttttttt;20191101:1:2:2:2:2:2:3:4:5;9:17;2:6;3:12;4:5;7:1;8:13;18:11;10:16;15:14;
ttttttttt;20191108:1:2:2:2:2:3:7:4:5;16:9;11:3;12:18;14:10;17:15;1:2;5:8;6:4;13:7;
ttttttttt;20191122:1:2:2:2:2:2:3:4:5;2:17;4:13;7:6;8:14;10:1;18:5;3:16;15:11;9:12;
ttttttttt;20191129:1:2:2:2:2:3:4:5:6;14:18;9:10;11:2;16:15;17:3;1:4;5:13;6:8;12:7;
ttttttttt;20191206:1:2:2:2:2:2:3:4:5;7:11;2:10;3:9;5:1;13:6;15:12;4:14;18:16;8:17;
ttttttttt;20191213:1:2:2:2:2:2:3:4:5;9:15;1:8;11:13;12:2;16:4;17:18;10:3;6:5;14:7;
ttttttttt;20191217:8:1:1:1:3:9:9:9:9;8:12;2:3;15:10;18:9;4:11;5:17;6:14;7:16;13:1;
ttttttttt;20191220:1:2:2:2:2:2:3:4:5;9:2;1:6;3:15;12:4;14:13;16:8;11:5;10:18;17:7;
ttttttttt;20200117:1:2:2:2:2:2:3:4:5;14:5;9:7;10:8;12:13;15:2;16:6;3:18;11:1;17:4;
ttttttttt;20200124:1:2:2:2:2:2:3:4:5;2:16;5:12;6:11;7:3;13:17;18:15;1:14;8:9;4:10;
ttttttttt;20200131:1:2:2:2:2:2:3:4:5;11:14;2:18;9:4;10:7;12:1;15:8;3:5;16:13;17:6;
ttttttttt;20200207:1:2:2:2:2:2:3:4:5;7:15;6:10;8:18;11:12;13:9;14:17;4:2;5:16;1:3;
ttttttttt;20200214:1:2:2:2:2:2:3:4:5;2:7;3:8;9:6;15:13;17:11;18:4;10:5;16:1;12:14;
ttttttttt;20200221:1:2:2:2:2:3:4:5:6;1:17;5:9;8:2;11:16;13:10;14:3;4:15;6:12;7:18;
ttttttttt;20200228:1:2:2:2:2:3:7:4:5;10:11;2:13;9:1;12:17;15:5;16:14;18:6;3:4;8:7;
ttttttttt;20200306:10:2:2:2:2:2:3:4:5;17:16;4:7;6:3;11:8;13:18;14:9;5:2;1:15;12:10;
ttttttttt;20200313:1:2:2:2:2:3:4:5:6;10:17;2:14;3:13;9:11;16:12;18:1;7:5;15:6;8:4;
ttttttttt;20200320:1:2:2:2:2:3:7:4:5;12:3;13:8;14:15;16:10;17:9;11:18;5:4;1:7;6:2;
ttttttttt;20200403:1:2:2:2:2:2:3:4:5;8:5;3:11;4:6;9:16;15:17;18:12;2:1;7:13;10:14;
ttttttttt;20200410:0:0:0:0:0:0:0:0:0;1:10;5:18;6:7;11:15;12:9;13:4;14:8;16:3;17:2;
ttttttttt;20200417:0:0:0:0:0:0:0:0:0;2:11;3:17;4:1;7:12;8:6;10:9;13:5;15:16;18:14;
ttttttttt;20200424:0:0:0:0:0:0:0:0:0;1:5;6:13;9:3;10:2;11:7;12:15;14:4;16:18;17:8;
ttttttttt;20200501:0:0:0:0:0:0:0:0:0;2:12;3:10;4:16;5:6;7:14;8:1;13:11;15:9;18:17;
ttttttttt;20200508:2:2:2:2:2:2:2:2:2;1:13;3:2;9:18;10:15;11:4;12:8;14:6;16:7;17:5;
ttttttttt;20200515:2:2:2:2:2:2:2:2:2;2:9;4:12;5:11;6:1;7:17;8:16;13:14;15:3;18:10;
