V101W: Inter Club d'Escaldes
V101L: HB Tórshavn
V102W: FC Prishtina
V102L: SS Folgore/Falciano
V201W: FC Prishtina
V201L: Inter Club d'Escaldes
Q101W: Ferencváros Budapest
Q101L: FC Prishtina
Q102W: HJK Helsinki
Q102L: Buducnost Podgorica
Q103W: Flora Tallinn
Q103L: Hibernians Football Club
Q104W: CFR Cluj
Q104L: Borac Banja Luka
Q105W: Zalgiris Vilnius
Q105L: Linfield FC
Q106W: Lincoln Red Imps FC
Q106L: Fola Esch
Q107W: NS Mura
Q107L: KF Shkëndija
Q108W: Legia Warschau
Q108L: FK Bodø/Glimt
Q109W: Neftçi Baku
Q109L: Dinamo Tiflis
Q110W: Slovan Bratislava
Q110L: Shamrock Rovers
Q111W: Dinamo Zagreb
Q111L: Valur Reykjavík
Q112W: Malmö FF
Q112L: Riga FC
Q113W: Qairat Almaty
Q113L: Maccabi Haifa
Q114W: Ludogorez Rasgrad
Q114L: Schachzjor Salihorsk
Q115W: Sheriff Tiraspol
Q115L: Teuta Durrës
Q116W: Alashkert Martuni
Q116L: Connah's Quay Nomads
Q201W: Sheriff Tiraspol
Q201L: Alashkert Martuni
Q202W: CFR Cluj
Q202L: Lincoln Red Imps FC
Q203W: Ferencváros Budapest
Q203L: Zalgiris Vilnius
Q204W: Dinamo Zagreb
Q204L: Omonia Nikosia
Q205W: Sparta Prag
Q205L: Rapid Wien
Q206W: FC Midtjylland
Q206L: Celtic Glasgow
Q207W: Roter Stern Belgrad
Q207L: Qairat Almaty
Q208W: Malmö FF
Q208L: HJK Helsinki
Q209W: Ludogorez Rasgrad
Q209L: NS Mura
Q210W: Young Boys Bern
Q210L: Slovan Bratislava
Q211W: Olympiakos Piräus
Q211L: Neftçi Baku
Q212W: PSV Eindhoven
Q212L: Galatasaray Istanbul
Q213W: Legia Warschau
Q213L: Flora Tallinn
Q301W: AS Monaco
Q301L: Sparta Prag
Q302W: Malmö FF
Q302L: Glasgow Rangers
Q303W: Schachtar Donezk
Q303L: KRC Genk
Q304W: Young Boys Bern
Q304L: CFR Cluj
Q305W: PSV Eindhoven
Q305L: FC Midtjylland
Q306W: Sheriff Tiraspol
Q306L: Roter Stern Belgrad
Q307W: Ludogorez Rasgrad
Q307L: Olympiakos Piräus
Q308W: Benfica Lissabon
Q308L: Spartak Moskau
Q309W: Ferencváros Budapest
Q309L: Slavia Prag
Q310W: Dinamo Zagreb
Q310L: Legia Warschau
PO01W: FC Salzburg
PO01L: Brøndby IF
PO02W: Schachtar Donezk
PO02L: AS Monaco
PO03W: Sheriff Tiraspol
PO03L: Dinamo Zagreb
PO04W: Malmö FF
PO04L: Ludogorez Rasgrad
PO05W: Young Boys Bern
PO05L: Ferencváros Budapest
PO06W: Benfica Lissabon
PO06L: PSV Eindhoven
GA1: Manchester City
GA2: Paris Saint-Germain
GA3: RB Leipzig
GA4: FC Brügge
GB1: FC Liverpool
GB2: Atlético Madrid
GB3: FC Porto
GB4: AC Mailand
GC1: Ajax Amsterdam
GC2: Sporting Lissabon
GC3: Borussia Dortmund
GC4: Besiktas Istanbul
GD1: Real Madrid
GD2: Inter Mailand
GD3: Sheriff Tiraspol
GD4: Schachtar Donezk
GE1: Bayern München
GE2: Benfica Lissabon
GE3: FC Barcelona
GE4: Dynamo Kiew
GF1: Manchester United
GF2: FC Villarreal
GF3: Atalanta Bergamo
GF4: Young Boys Bern
GG1: OSC Lille
GG2: FC Salzburg
GG3: FC Sevilla
GG4: VfL Wolfsburg
GH1: Juventus Turin
GH2: FC Chelsea
GH3: Zenit St. Petersburg
GH4: Malmö FF
AF01W: Real Madrid
AF01L: Paris Saint-Germain
AF02W: Manchester City
AF02L: Sporting Lissabon
AF03W: FC Liverpool
AF03L: Inter Mailand
AF04W: Bayern München
AF04L: FC Salzburg
AF05W: FC Villarreal
AF05L: Juventus Turin
AF06W: FC Chelsea
AF06L: OSC Lille
AF07W: Atlético Madrid
AF07L: Manchester United
AF08W: Benfica Lissabon
AF08L: Ajax Amsterdam
VF01W: Manchester City
VF01L: Atlético Madrid
VF02W: FC Liverpool
VF02L: Benfica Lissabon
VF03W: FC Villarreal
VF03L: Bayern München
VF04W: Real Madrid
VF04L: FC Chelsea
HF01W: Real Madrid
HF01L: Manchester City
HF02W: FC Liverpool
HF02L: FC Villarreal
FI01W: CHAL2021FI01W
FI01L: CHAL2021FI01L
