Manchester City
Bayern München
Real Madrid
Paris Saint-Germain
FC Liverpool
Inter Mailand
Borussia Dortmund
RB Leipzig
FC Barcelona
Bayer 04 Leverkusen
Atlético Madrid
Atalanta Bergamo
Juventus Turin
Benfica Lissabon
FC Arsenal
FC Brügge
Schachtar Donezk
AC Mailand
Feyenoord Rotterdam
Sporting Lissabon
PSV Eindhoven
Dinamo Zagreb
FC Salzburg
OSC Lille
Roter Stern Belgrad
Young Boys Bern
Celtic Glasgow
Slovan Bratislava
AS Monaco
Sparta Prag
Aston Villa
FC Bologna
FC Girona
VfB Stuttgart
Sturm Graz
Stade Brest
