Bayern München
Real Madrid
Paris Saint-Germain
FC Liverpool
Inter Mailand
Manchester City
FC Arsenal
FC Barcelona
Atlético Madrid
Borussia Dortmund
AS Rom
Sporting Lissabon
Aston Villa
FC Porto
Manchester United
FC Brügge
Real Betis Sevilla
PSV Eindhoven
Feyenoord Rotterdam
OSC Lille
FK Bodø/Glimt
SSC Neapel
RB Leipzig
FC Villarreal
Fenerbahce Istanbul
Schachtar Donezk
Galatasaray Istanbul
Slavia Prag
Slovan Bratislava
VfB Stuttgart
AEK Athen
Linzer ASK
Como 1907
RC Lens
Viking Stavanger
Sabah FK
