1R01W: 1. FC Magdeburg
1R01L: 1. FC Saarbrücken
1R02W: 1. FC Union Berlin
1R02L: FC Gütersloh
1R03W: Bayer 04 Leverkusen
1R03L: SG Sonnenhof Großaspach
1R04W: Arminia Bielefeld
1R04L: Werder Bremen
1R05W: VfL Bochum
1R05L: BFC Dynamo
1R06W: Hamburger SV
1R06L: FK Pirmasens
1R07W: RasenBallsport Leipzig
1R07L: SV Sandhausen
1R08W: FV Illertissen
1R08L: 1. FC Nürnberg
1R09W: VfL Wolfsburg
1R09L: SV Hemelingen
1R10W: FC St. Pauli
1R10L: Eintracht Norderstedt
1R11W: TSG 1899 Hoffenheim
1R11L: Hansa Rostock
1R12W: 1. FC Heidenheim
1R12L: Bahlinger SC
1R13W: FC Energie Cottbus
1R13L: Hannover 96
1R14W: SV Darmstadt 98
1R14L: VfB Lübeck
1R15W: SC Freiburg
1R15L: Sportfreunde Lotte
1R16W: SC Paderborn
1R16L: FC Viktoria Köln
1R17W: Eintracht Frankfurt
1R17L: FV Engers 07
1R18W: 1. FC Köln
1R18L: SSV Jahn Regensburg
1R19W: 1. FC Kaiserslautern
1R19L: RSV Eintracht 1949
1R20W: SpVgg Greuther Fürth
1R20L: Blau-Weiß Lohne
1R21W: Borussia Mönchengladbach
1R21L: SV Atlas Delmenhorst
1R22W: FC Schalke 04
1R22L: 1. FC Lokomotive Leipzig
1R23W: Karlsruher SC
1R23L: ZFC Meuselwitz
1R24W: SV Elversberg
1R24L: SSV Ulm 1846
1R25W: Holstein Kiel
1R25L: FC 08 Homburg
1R26W: FC Augsburg
1R26L: Hallescher FC
1R27W: Hertha BSC
1R27L: Preußen Münster
1R28W: 1. FSV Mainz 05
1R28L: Dynamo Dresden
1R29W: Fortuna Düsseldorf
1R29L: 1. FC Schweinfurt 05
1R30W: Borussia Dortmund
1R30L: Rot-Weiss Essen
1R31W: Eintracht Braunschweig vs. VfB Stuttgart
1R31L: Eintracht Braunschweig vs. VfB Stuttgart
1R32W: SV Wehen Wiesbaden vs. Bayern München
1R32L: SV Wehen Wiesbaden vs. Bayern München
2R01W: DPOK20252R01W
2R01L: DPOK20252R01L
2R02W: DPOK20252R02W
2R02L: DPOK20252R02L
2R03W: DPOK20252R03W
2R03L: DPOK20252R03L
2R04W: DPOK20252R04W
2R04L: DPOK20252R04L
2R05W: DPOK20252R05W
2R05L: DPOK20252R05L
2R06W: DPOK20252R06W
2R06L: DPOK20252R06L
2R07W: DPOK20252R07W
2R07L: DPOK20252R07L
2R08W: DPOK20252R08W
2R08L: DPOK20252R08L
2R09W: DPOK20252R09W
2R09L: DPOK20252R09L
2R10W: DPOK20252R10W
2R10L: DPOK20252R10L
2R11W: DPOK20252R11W
2R11L: DPOK20252R11L
2R12W: DPOK20252R12W
2R12L: DPOK20252R12L
2R13W: DPOK20252R13W
2R13L: DPOK20252R13L
2R14W: DPOK20252R14W
2R14L: DPOK20252R14L
2R15W: DPOK20252R15W
2R15L: DPOK20252R15L
2R16W: DPOK20252R16W
2R16L: DPOK20252R16L
AF01W: DPOK2025AF01W
AF01L: DPOK2025AF01L
AF02W: DPOK2025AF02W
AF02L: DPOK2025AF02L
AF03W: DPOK2025AF03W
AF03L: DPOK2025AF03L
AF04W: DPOK2025AF04W
AF04L: DPOK2025AF04L
AF05W: DPOK2025AF05W
AF05L: DPOK2025AF05L
AF06W: DPOK2025AF06W
AF06L: DPOK2025AF06L
AF07W: DPOK2025AF07W
AF07L: DPOK2025AF07L
AF08W: DPOK2025AF08W
AF08L: DPOK2025AF08L
VF01W: DPOK2025VF01W
VF01L: DPOK2025VF01L
VF02W: DPOK2025VF02W
VF02L: DPOK2025VF02L
VF03W: DPOK2025VF03W
VF03L: DPOK2025VF03L
VF04W: DPOK2025VF04W
VF04L: DPOK2025VF04L
HF01W: DPOK2025HF01W
HF01L: DPOK2025HF01L
HF02W: DPOK2025HF02W
HF02L: DPOK2025HF02L
FI01W: DPOK2025FI01W
FI01L: DPOK2025FI01L
