1R01W: Karlsruher SC
1R01L: Preußen Münster
1R02W: 1. FC Kaiserslautern
1R02L: SV Waldhof Mannheim
1R03W: Eintracht Frankfurt
1R03L: SC St. Tönis 11/20
1R04W: VfB Stuttgart
1R04L: Hansa Rostock
1R05W: FC Augsburg
1R05L: FC Energie Cottbus
1R06W: Bayer 04 Leverkusen
1R06L: SV Wehen Wiesbaden
1R07W: SV Elversberg
1R07L: MSV Duisburg
1R08W: Hannover 96
1R08L: SV Hemelingen
1R09W: 1. FC Nürnberg
1R09L: FC Viktoria Köln
1R10W: Werder Bremen
1R10L: Lüneburger SK Hansa
1R11W: Hertha BSC
1R11L: 1. FC Saarbrücken
1R12W: TSG 1899 Hoffenheim
1R12L: Erzgebirge Aue
1R13W: Holstein Kiel
1R13L: 1860 München
1R14W: RasenBallsport Leipzig
1R14L: SV Eintracht Trier 05
1R15W: SG Sonnenhof Großaspach
1R15L: Arminia Bielefeld
1R16W: VfL Bochum
1R16L: SpVgg Greuther Fürth
1R17W: SSV Jeddeloh II
1R17L: 1. FC Heidenheim
1R18W: 1. FC Union Berlin
1R18L: Eintracht Braunschweig
1R19W: 1. FSV Mainz 05
1R19L: VfB Krieschow
1R20W: 1. FC Magdeburg
1R20L: Bahlinger SC
1R21W: Borussia Mönchengladbach
1R21L: TSV Schott Mainz
1R22W: SV Darmstadt 98
1R22L: FC Carl Zeiss Jena
1R23W: Dynamo Dresden
1R23L: Westfalia Rhynern
1R24W: SC Freiburg
1R24L: Fortuna Düsseldorf
1R25W: Rot-Weiss Essen
1R25L: FC St. Pauli
1R26W: SC Paderborn
1R26L: 1. FC Phönix Lübeck
1R27W: 1. FC Köln
1R27L: Würzburger Kickers
1R28W: VfL Wolfsburg
1R28L: VSG Altglienicke
1R29W: Hamburger SV
1R29L: SC Verl
1R30W: FC Schalke 04
1R30L: Hallescher FC
1R31W: Borussia Dortmund
1R31L: Hamburg-Eimsbütteler BC
1R32W: Bayern München
1R32L: VfL Osnabrück
2R01W: DPOK20262R01W
2R01L: DPOK20262R01L
2R02W: DPOK20262R02W
2R02L: DPOK20262R02L
2R03W: DPOK20262R03W
2R03L: DPOK20262R03L
2R04W: DPOK20262R04W
2R04L: DPOK20262R04L
2R05W: DPOK20262R05W
2R05L: DPOK20262R05L
2R06W: DPOK20262R06W
2R06L: DPOK20262R06L
2R07W: DPOK20262R07W
2R07L: DPOK20262R07L
2R08W: DPOK20262R08W
2R08L: DPOK20262R08L
2R09W: DPOK20262R09W
2R09L: DPOK20262R09L
2R10W: DPOK20262R10W
2R10L: DPOK20262R10L
2R11W: DPOK20262R11W
2R11L: DPOK20262R11L
2R12W: DPOK20262R12W
2R12L: DPOK20262R12L
2R13W: DPOK20262R13W
2R13L: DPOK20262R13L
2R14W: DPOK20262R14W
2R14L: DPOK20262R14L
2R15W: DPOK20262R15W
2R15L: DPOK20262R15L
2R16W: DPOK20262R16W
2R16L: DPOK20262R16L
AF01W: DPOK2026AF01W
AF01L: DPOK2026AF01L
AF02W: DPOK2026AF02W
AF02L: DPOK2026AF02L
AF03W: DPOK2026AF03W
AF03L: DPOK2026AF03L
AF04W: DPOK2026AF04W
AF04L: DPOK2026AF04L
AF05W: DPOK2026AF05W
AF05L: DPOK2026AF05L
AF06W: DPOK2026AF06W
AF06L: DPOK2026AF06L
AF07W: DPOK2026AF07W
AF07L: DPOK2026AF07L
AF08W: DPOK2026AF08W
AF08L: DPOK2026AF08L
VF01W: DPOK2026VF01W
VF01L: DPOK2026VF01L
VF02W: DPOK2026VF02W
VF02L: DPOK2026VF02L
VF03W: DPOK2026VF03W
VF03L: DPOK2026VF03L
VF04W: DPOK2026VF04W
VF04L: DPOK2026VF04L
HF01W: DPOK2026HF01W
HF01L: DPOK2026HF01L
HF02W: DPOK2026HF02W
HF02L: DPOK2026HF02L
FI01W: DPOK2026FI01W
FI01L: DPOK2026FI01L
