Q101W: F91 Düdelingen
Q101L: St. Patrick's Athletic
Q102W: B36 Tórshavn
Q102L: Paide Linnameeskond
Q103W: Tobyl Qostanai
Q103L: Honka Espoo
Q104W: Pjunik Erewan
Q104L: Trans Narva
Q105W: FC Ararat-Armenia
Q105L: KF Egnatia
Q106W: Inter Club d'Escaldes
Q106L: Víkingur Gøta
Q107W: MSK Zilina
Q107L: Levadia Tallinn
Q108W: FK Rigas FS
Q108L: Makedonija Skopje
Q109W: FK Panevezys
Q109L: FC Milsami
Q110W: Crusaders FC
Q110L: Haka Valkeakoski
Q111W: Dundalk FC
Q111L: FC Bruno's Magpies
Q112W: FC Balzan
Q112L: NK Domzale
Q113W: FK Shkupi
Q113L: FC Hegelmann
Q114W: Riga FC
Q114L: Víkingur Reykjavík
Q115W: KF Dukagjini
Q115L: Europa FC
Q116W: Alashkert Martuni
Q116L: Arsenal Tivat
Q117W: Gzira United
Q117L: Glentoran FC
Q118W: Torpedo Kutaissi
Q118L: FK Sarajevo
Q119W: Dila Gori
Q119L: DAC Dunajská Streda
Q120W: Progrès Niederkorn
Q120L: KF Gjilani
Q121W: FC Santa Coloma
Q121L: Pen-y-Bont FC
Q122W: KF Tirana
Q122L: Dinamo Batumi
Q123W: Derry City
Q123L: HB Tórshavn
Q124W: Haverfordwest County
Q124L: KF Shkëndija
Q125W: Njoman Hrodna
Q125L: FC Vaduz
Q126W: KA Akureyri
Q126L: Connah's Quay Nomads
Q127W: Zeljeznicar Sarajevo
Q127L: Dinamo Minsk
Q128W: Sutjeska Niksic
Q128L: SS Cosmos
Q129W: Linfield FC
Q129L: Vllaznia Shkodra
Q130W: Zimbru Chisinau
Q130L: SP La Fiorita
Q131W: NK Maribor
Q131L: FC Birkirkara
Q201W: CONF2023Q201W
Q201L: CONF2023Q201L
Q202W: CONF2023Q202W
Q202L: CONF2023Q202L
Q203W: CONF2023Q203W
Q203L: CONF2023Q203L
Q204W: CONF2023Q204W
Q204L: CONF2023Q204L
Q205W: CONF2023Q205W
Q205L: CONF2023Q205L
Q206W: CONF2023Q206W
Q206L: CONF2023Q206L
Q207W: CONF2023Q207W
Q207L: CONF2023Q207L
Q208W: CONF2023Q208W
Q208L: CONF2023Q208L
Q209W: CONF2023Q209W
Q209L: CONF2023Q209L
Q210W: CONF2023Q210W
Q210L: CONF2023Q210L
Q211W: CONF2023Q211W
Q211L: CONF2023Q211L
Q212W: CONF2023Q212W
Q212L: CONF2023Q212L
Q213W: CONF2023Q213W
Q213L: CONF2023Q213L
Q214W: CONF2023Q214W
Q214L: CONF2023Q214L
Q215W: CONF2023Q215W
Q215L: CONF2023Q215L
Q216W: CONF2023Q216W
Q216L: CONF2023Q216L
Q217W: CONF2023Q217W
Q217L: CONF2023Q217L
Q218W: CONF2023Q218W
Q218L: CONF2023Q218L
Q219W: CONF2023Q219W
Q219L: CONF2023Q219L
Q220W: CONF2023Q220W
Q220L: CONF2023Q220L
Q221W: CONF2023Q221W
Q221L: CONF2023Q221L
Q222W: CONF2023Q222W
Q222L: CONF2023Q222L
Q223W: CONF2023Q223W
Q223L: CONF2023Q223L
Q224W: CONF2023Q224W
Q224L: CONF2023Q224L
Q225W: CONF2023Q225W
Q225L: CONF2023Q225L
Q226W: CONF2023Q226W
Q226L: CONF2023Q226L
Q227W: CONF2023Q227W
Q227L: CONF2023Q227L
Q228W: CONF2023Q228W
Q228L: CONF2023Q228L
Q229W: CONF2023Q229W
Q229L: CONF2023Q229L
Q230W: CONF2023Q230W
Q230L: CONF2023Q230L
Q231W: CONF2023Q231W
Q231L: CONF2023Q231L
Q232W: CONF2023Q232W
Q232L: CONF2023Q232L
Q233W: CONF2023Q233W
Q233L: CONF2023Q233L
Q234W: CONF2023Q234W
Q234L: CONF2023Q234L
Q235W: CONF2023Q235W
Q235L: CONF2023Q235L
Q236W: CONF2023Q236W
Q236L: CONF2023Q236L
Q237W: CONF2023Q237W
Q237L: CONF2023Q237L
Q238W: CONF2023Q238W
Q238L: CONF2023Q238L
Q239W: CONF2023Q239W
Q239L: CONF2023Q239L
Q240W: CONF2023Q240W
Q240L: CONF2023Q240L
Q241W: CONF2023Q241W
Q241L: CONF2023Q241L
Q242W: CONF2023Q242W
Q242L: CONF2023Q242L
Q243W: CONF2023Q243W
Q243L: CONF2023Q243L
Q244W: CONF2023Q244W
Q244L: CONF2023Q244L
Q245W: CONF2023Q245W
Q245L: CONF2023Q245L
Q246W: CONF2023Q246W
Q246L: CONF2023Q246L
Q247W: CONF2023Q247W
Q247L: CONF2023Q247L
Q248W: CONF2023Q248W
Q248L: CONF2023Q248L
Q249W: CONF2023Q249W
Q249L: CONF2023Q249L
Q250W: CONF2023Q250W
Q250L: CONF2023Q250L
Q251W: CONF2023Q251W
Q251L: CONF2023Q251L
