AC Florenz
AZ Alkmaar
Schachtar Donezk
Slovan Bratislava
Rapid Wien
Legia Warschau
Sparta Prag
Dynamo Kiew
Crystal Palace
Lech Posen
Rayo Vallecano
Shamrock Rovers
Omonia Nikosia
1. FSV Mainz 05
Racing Straßburg
Jagiellonia Bialystok
NK Celje
HNK Rijeka
Zrinjski Mostar
Lincoln Red Imps FC
Kuopion PS
AEK Athen
FC Aberdeen
KF Drita
Breiðablik Kópavogur
Sigma Olmütz
Samsunspor
Raków Częstochowa
AEK Larnaka
KF Shkëndija
BK Häcken
FC Lausanne-Sport
CSU Craiova
Hamrun Spartans
Noah Erewan
Shelbourne FC
