PQ:Rheindorf Altach
PQ:NK Osijek
PQ:Jagiellonia Bialystok
PQ:Lech Posen
PQ:AEK Larnaka
PQ:AEL Limassol
PQ:Schachzjor Salihorsk
PQ:Dinamo Minsk
PQ:AIK Solna
PQ:IFK Norrköping
PQ:Odds Ballklubb
PQ:FK Haugesund
PQ:Maccabi Tel Aviv
PQ:Beitar Jerusalem
PQ:Lyngby BK
PQ:FC Midtjylland
PQ:Glasgow Rangers
PQ:FC St. Johnstone
PQ:Inter Baku
PQ:FK Zira
PQ:Roter Stern Belgrad
PQ:Vojvodina Novi Sad
PQ:Mladost Lucani
PQ:Qairat Almaty
PQ:Ertis Pawlodar
PQ:Ordabassy Schymkent
PQ:Lewski Sofia
PQ:Dunaw Russe
PQ:Botew Plowdiw
PQ:ND Gorica
PQ:Olimpija Ljubljana
PQ:NK Domzale
PQ:MFK Ruzomberok
PQ:AS Trencin
PQ:Slovan Bratislava
PQ:FC Vaduz
PQ:Videoton Székesfehérvár
PQ:Vasas Budapest
PQ:Ferencváros Budapest
PQ:Dacia Chisinau
PQ:FC Milsami
PQ:Zaria Balti
PQ:UMF Stjarnan
PQ:KR Reykjavík
PQ:Valur Reykjavík
PQ:Tschichura Satschchere
PQ:Dinamo Batumi
PQ:Torpedo Kutaissi
PQ:HJK Helsinki
PQ:Vaasa PS
PQ:Seinäjoen Jalkapallokerho
PQ:Zeljeznicar Sarajevo
PQ:FK Sarajevo
PQ:Sikori Brijeg
PQ:Partizani Tirana
PQ:Skënderbeu Korça
PQ:KF Tirana
PQ:KF Shkëndija
PQ:Rabotnicki Skopje
PQ:Pelister Bitola
PQ:Derry City
PQ:Shamrock Rovers
PQ:Cork City
PQ:FK Jelgava
PQ:FK Liepaja
PQ:FK Ventspils
PQ:FC Differdingen
PQ:Fola Esch
PQ:Progrès Niederkorn
PQ:Zeta Golubovci
PQ:Mladost Podgorica
PQ:Sutjeska Niksic
PQ:FK Trakai
PQ:Suduva Marijampole
PQ:Atlantas Klaipeda
PQ:Crusaders FC
PQ:Coleraine FC
PQ:Ballymena United
PQ:Levadia Tallinn
PQ:Nomme Kalju
PQ:Flora Tallinn
PQ:Gandsassar Kapan
PQ:Pjunik Erewan
PQ:Schirak Gjumri
PQ:NSÍ Runavík
PQ:B36 Tórshavn
PQ:KÍ Klaksvík
PQ:FC Balzan
PQ:FC Valletta
PQ:FC Floriana
PQ:Gap Connah's Quay
PQ:Bangor City
PQ:Bala Town
PQ:Lincoln Red Imps FC
PQ:St Joseph's FC
PQ:UE Sant Julià
PQ:UE Santa Coloma
PQ:SS Folgore/Falciano
PQ:SP Tre Penne
PQ:FC Prishtina
