V101W: Progrès Niederkorn
V101L: Cardiff Metropolitan
V102W: Cliftonville FC
V102L: Barry Town United
V103W: KÍ Klaksvík
V103L: SP Tre Fiori
V104W: Europa FC
V104L: UE Sant Julià
V105W: Ballymena United
V105L: NSÍ Runavík
V106W: UE Engordany
V106L: SP La Fiorita
V107W: St Joseph's FC
V107L: FC Prishtina
Q101W: EL2019Q101W
Q101L: EL2019Q101L
Q102W: EL2019Q102W
Q102L: EL2019Q102L
Q103W: EL2019Q103W
Q103L: EL2019Q103L
Q104W: EL2019Q104W
Q104L: EL2019Q104L
Q105W: EL2019Q105W
Q105L: EL2019Q105L
Q106W: EL2019Q106W
Q106L: EL2019Q106L
Q107W: EL2019Q107W
Q107L: EL2019Q107L
Q108W: EL2019Q108W
Q108L: EL2019Q108L
Q109W: EL2019Q109W
Q109L: EL2019Q109L
Q110W: EL2019Q110W
Q110L: EL2019Q110L
Q111W: EL2019Q111W
Q111L: EL2019Q111L
Q112W: EL2019Q112W
Q112L: EL2019Q112L
Q113W: EL2019Q113W
Q113L: EL2019Q113L
Q114W: EL2019Q114W
Q114L: EL2019Q114L
Q115W: EL2019Q115W
Q115L: EL2019Q115L
Q116W: EL2019Q116W
Q116L: EL2019Q116L
Q117W: EL2019Q117W
Q117L: EL2019Q117L
Q118W: EL2019Q118W
Q118L: EL2019Q118L
Q119W: EL2019Q119W
Q119L: EL2019Q119L
Q120W: EL2019Q120W
Q120L: EL2019Q120L
Q121W: EL2019Q121W
Q121L: EL2019Q121L
Q122W: EL2019Q122W
Q122L: EL2019Q122L
Q123W: EL2019Q123W
Q123L: EL2019Q123L
Q124W: EL2019Q124W
Q124L: EL2019Q124L
Q125W: EL2019Q125W
Q125L: EL2019Q125L
Q126W: EL2019Q126W
Q126L: EL2019Q126L
Q127W: EL2019Q127W
Q127L: EL2019Q127L
Q128W: EL2019Q128W
Q128L: EL2019Q128L
Q129W: EL2019Q129W
Q129L: EL2019Q129L
Q130W: EL2019Q130W
Q130L: EL2019Q130L
Q131W: EL2019Q131W
Q131L: EL2019Q131L
Q132W: EL2019Q132W
Q132L: EL2019Q132L
Q133W: EL2019Q133W
Q133L: EL2019Q133L
Q134W: EL2019Q134W
Q134L: EL2019Q134L
Q135W: EL2019Q135W
Q135L: EL2019Q135L
Q136W: EL2019Q136W
Q136L: EL2019Q136L
Q137W: EL2019Q137W
Q137L: EL2019Q137L
Q138W: EL2019Q138W
Q138L: EL2019Q138L
Q139W: EL2019Q139W
Q139L: EL2019Q139L
Q140W: EL2019Q140W
Q140L: EL2019Q140L
Q141W: EL2019Q141W
Q141L: EL2019Q141L
Q142W: EL2019Q142W
Q142L: EL2019Q142L
Q143W: EL2019Q143W
Q143L: EL2019Q143L
Q144W: EL2019Q144W
Q144L: EL2019Q144L
Q145W: EL2019Q145W
Q145L: EL2019Q145L
Q146W: EL2019Q146W
