V101W: Zeta Golubovci
V101L: UE Engordany
V102W: B36 Tórshavn
V102L: St Joseph's FC
V103W: NSÍ Runavík
V103L: Barry Town United
V104W: Iskra Danilovgrad
V104L: FC Santa Coloma
V105W: Glentoran FC
V105L: HB Tórshavn
V106W: Coleraine FC
V106L: SP La Fiorita
V107W: KF Gjilani
V107L: SP Tre Penne
V108W: EL2020V108W
V108L: EL2020V108L
Q101W: EL2020Q101W
Q101L: EL2020Q101L
Q102W: EL2020Q102W
Q102L: EL2020Q102L
Q103W: EL2020Q103W
Q103L: EL2020Q103L
Q104W: EL2020Q104W
Q104L: EL2020Q104L
Q105W: EL2020Q105W
Q105L: EL2020Q105L
Q106W: EL2020Q106W
Q106L: EL2020Q106L
Q107W: EL2020Q107W
Q107L: EL2020Q107L
Q108W: EL2020Q108W
Q108L: EL2020Q108L
Q109W: EL2020Q109W
Q109L: EL2020Q109L
Q110W: EL2020Q110W
Q110L: EL2020Q110L
Q111W: EL2020Q111W
Q111L: EL2020Q111L
Q112W: EL2020Q112W
Q112L: EL2020Q112L
Q113W: EL2020Q113W
Q113L: EL2020Q113L
Q114W: EL2020Q114W
Q114L: EL2020Q114L
Q115W: EL2020Q115W
Q115L: EL2020Q115L
Q116W: EL2020Q116W
Q116L: EL2020Q116L
Q117W: EL2020Q117W
Q117L: EL2020Q117L
Q118W: EL2020Q118W
Q118L: EL2020Q118L
Q119W: EL2020Q119W
Q119L: EL2020Q119L
Q120W: EL2020Q120W
Q120L: EL2020Q120L
Q121W: EL2020Q121W
Q121L: EL2020Q121L
Q122W: EL2020Q122W
Q122L: EL2020Q122L
Q123W: EL2020Q123W
Q123L: EL2020Q123L
Q124W: EL2020Q124W
Q124L: EL2020Q124L
Q125W: EL2020Q125W
Q125L: EL2020Q125L
Q126W: EL2020Q126W
Q126L: EL2020Q126L
Q127W: EL2020Q127W
Q127L: EL2020Q127L
Q128W: EL2020Q128W
Q128L: EL2020Q128L
Q129W: EL2020Q129W
Q129L: EL2020Q129L
Q130W: EL2020Q130W
Q130L: EL2020Q130L
Q131W: EL2020Q131W
Q131L: EL2020Q131L
Q132W: EL2020Q132W
Q132L: EL2020Q132L
Q133W: EL2020Q133W
Q133L: EL2020Q133L
Q134W: EL2020Q134W
Q134L: EL2020Q134L
Q135W: EL2020Q135W
Q135L: EL2020Q135L
Q136W: EL2020Q136W
Q136L: EL2020Q136L
Q137W: EL2020Q137W
Q137L: EL2020Q137L
Q138W: EL2020Q138W
Q138L: EL2020Q138L
Q139W: EL2020Q139W
Q139L: EL2020Q139L
Q140W: EL2020Q140W
Q140L: EL2020Q140L
Q141W: EL2020Q141W
Q141L: EL2020Q141L
Q142W: EL2020Q142W
Q142L: EL2020Q142L
Q143W: EL2020Q143W
Q143L: EL2020Q143L
Q144W: EL2020Q144W
Q144L: EL2020Q144L
Q145W: EL2020Q145W
Q145L: EL2020Q145L
Q146W: EL2020Q146W
Q146L: EL2020Q146L
Q147W: EL2020Q147W
Q147L: EL2020Q147L
Q201W: EL2020Q201W
Q201L: EL2020Q201L
Q202W: EL2020Q202W
Q202L: EL2020Q202L
Q203W: EL2020Q203W
Q203L: EL2020Q203L
Q204W: EL2020Q204W
Q204L: EL2020Q204L
Q205W: EL2020Q205W
Q205L: EL2020Q205L
Q206W: EL2020Q206W
Q206L: EL2020Q206L
Q207W: EL2020Q207W
Q207L: EL2020Q207L
Q208W: EL2020Q208W
Q208L: EL2020Q208L
Q209W: EL2020Q209W
Q209L: EL2020Q209L
Q210W: EL2020Q210W
Q210L: EL2020Q210L
Q211W: EL2020Q211W
Q211L: EL2020Q211L
Q212W: EL2020Q212W
Q212L: EL2020Q212L
Q213W: EL2020Q213W
Q213L: EL2020Q213L
Q214W: EL2020Q214W
Q214L: EL2020Q214L
Q215W: EL2020Q215W
Q215L: EL2020Q215L
Q216W: EL2020Q216W
Q216L: EL2020Q216L
Q217W: EL2020Q217W
Q217L: EL2020Q217L
Q218W: EL2020Q218W
Q218L: EL2020Q218L
Q219W: EL2020Q219W
Q219L: EL2020Q219L
Q220W: EL2020Q220W
Q220L: EL2020Q220L
Q221W: EL2020Q221W
Q221L: EL2020Q221L
Q222W: EL2020Q222W
Q222L: EL2020Q222L
Q223W: EL2020Q223W
Q223L: EL2020Q223L
Q224W: EL2020Q224W
Q224L: EL2020Q224L
Q225W: EL2020Q225W
Q225L: EL2020Q225L
Q226W: EL2020Q226W
Q226L: EL2020Q226L
Q227W: EL2020Q227W
Q227L: EL2020Q227L
Q228W: EL2020Q228W
Q228L: EL2020Q228L
Q229W: EL2020Q229W
Q229L: EL2020Q229L
Q230W: EL2020Q230W
Q230L: EL2020Q230L
Q231W: EL2020Q231W
Q231L: EL2020Q231L
Q232W: EL2020Q232W
Q232L: EL2020Q232L
