7:13+{1:0};4:15+{1:3};8:14+{0:1};10:18+{2:0};11:6+{2:2};17:12+{0:1};9:1+{1:4};20:5+{0:1};3:19+{2:0};2:16+{4:0};
12:4+{1:3};6:8+{0:0};13:20+{2:1};14:17+{1:1};16:10+{0:0};19:11+{1:0};15:7+{0:1};5:9+{1:0};18:2+{3:2};1:3+{0:0};
3:15+{2:1};2:19+{2:0};10:13+{0:1};11:14+{1:0};16:12+{1:0};18:6+{0:0};20:17+{3:1};7:1+{1:0};8:9+{0:2};4:5+{1:0};
1:20+{2:0};5:11+{2:0};12:8+{1:1};13:2+{0:0};15:16+{1:2};17:4+{1:3};19:18+{1:1};6:3+{1:0};14:10+{0:0};9:7+{2:2};
11:15+{0:1};7:14+{0:1};8:17+{3:0};10:6+{2:3};16:19+{2:3};3:12+{2:0};4:13+{3:1};20:9+{0:2};2:1+{4:1};18:5+{0:1};
5:3+{1:1};1:8+{1:2};12:18+{1:2};14:20+{2:0};15:2+{3:2};19:10+{1:0};9:4+{1:2};13:11+{0:1};17:7+{1:3};6:16+{3:2};
2:6+{3:1};7:20+{3:1};12:13+{1:0};18:16+{1:2};19:15+{0:0};17:1+{1:2};11:3+{1:3};14:9+{2:0};5:10+{0:3};8:4+{1:1};
16:7+{2:2};1:14+{1:1};3:18+{4:1};4:11+{4:1};6:19+{2:1};9:17+{4:0};13:8+{0:0};10:2+{1:3};15:5+{0:2};20:12+{1:4};
20:4+{0:2};1:13+{3:2};7:8+{4:1};11:18+{0:0};15:6+{0:2};14:12+{2:0};17:16+{2:1};3:2+{2:1};5:19+{1:0};9:10+{0:0};
16:3+{2:0};2:11+{7:0};8:20+{2:0};10:15+{0:0};12:1+{1:3};13:14+{1:1};19:17+{1:0};4:7+{2:0};6:5+{0:0};18:9+{1:0};
3:8+{2:2};7:12+{4:0};14:19+{4:1};15:18+{2:0};20:6+{0:0};11:10+{3:1};5:16+{0:1};17:2+{1:0};1:4+{1:0};9:13+{3:3};
6:7+{3:3};4:14+{2:0};12:9+{1:2};13:17+{2:0};16:11+{2:1};19:20+{0:1};10:3+{0:3};2:5+{6:0};18:1+{2:2};8:15+{2:2};
6:13+{4:0};10:12+{3:0};11:20+{1:0};15:17+{0:0};18:4+{0:3};16:8+{2:1};5:1+{2:2};19:7+{3:1};2:9+{3:0};3:14+{3:1};
20:10+{1:0};1:6+{0:1};4:19+{2:0};7:11+{5:1};9:16+{3:0};13:18+{0:0};14:15+{2:3};17:3+{3:4};8:2+{2:3};12:5+{1:2};
1:16+{0:1};7:10+{4:1};8:11+{0:2};13:3+{3:2};14:2+{1:1};20:18+{2:0};17:5+{1:2};12:15+{2:0};4:6+{1:1};9:19+{1:1};
2:4+{6:3};3:20+{2:1};6:12+{4:1};10:17+{0:0};16:14+{1:1};18:8+{1:0};19:13+{0:0};11:9+{1:1};15:1+{0:3};5:7+{0:5};
7:18+{3:1};1:10+{3:1};8:19+{1:1};12:2+{2:4};13:15+{2:1};17:11+{0:0};20:16+{0:3};14:5+{2:3};9:6+{1:2};4:3+{0:0};
19:1+{2:3};3:9+{1:0};5:8+{1:1};6:17+{0:1};10:4+{1:3};11:12+{1:2};15:20+{0:1};16:13+{5:1};18:14+{0:3};2:7+{2:1};
