10;0,1345;0,1600;0,1830;1,1430;1,1700;2,2100;-1,2045;1,1300;1,1505;1,1715;
tttttttttt;20150808:0:1:1:1:1:2:3:3:4:5;4:5;11:19;14:16;18:17;20:10;1:8;3:12;15:7;9:6;13:2;
tttttttttt;20150815:6:0:1:1:1:1:1:3:4:5;17:4;7:11;5:9;8:15;12:14;16:20;19:13;10:3;2:1;6:18;
tttttttttt;20150822:0:1:1:1:1:1:3:4:4:5;4:15;10:17;12:18;14:5;16:8;20:9;13:1;11:2;19:7;3:6;
tttttttttt;20150829:0:1:1:1:1:1:1:2:3:4;15:3;1:10;2:19;6:12;9:13;17:16;18:14;5:11;7:20;8:4;
tttttttttt;20150912:0:1:1:1:1:1:2:3:4:5;11:1;3:9;10:2;13:7;19:8;20:18;4:6;16:5;14:17;12:15;
tttttttttt;20150919:0:1:1:1:1:1:2:3:4:4;1:3;8:11;9:14;15:19;17:13;18:16;2:12;5:10;6:20;7:4;
tttttttttt;20150926:0:1:1:1:1:1:1:2:4:5;5:2;4:16;6:17;7:8;9:18;12:20;14:3;15:1;19:10;13:11;
tttttttttt;20151003:0:1:1:1:1:1:2:3:4:4;10:13;2:15;16:12;17:9;18:19;20:14;1:7;11:6;3:4;8:5;
tttttttttt;20151017:0:1:1:1:1:1:1:2:4:5;5:6;1:17;2:18;7:14;10:12;11:4;13:16;19:3;15:20;8:9;
tttttttttt;20151024:1:1:1:1:1:2:7:8:8:9;9:19;12:1;14:10;17:8;20:13;3:11;16:15;4:2;18:5;6:7;
tttttttttt;20151031:0:1:1:1:1:1:1:3:4:5;1:6;2:20;8:3;10:4;13:14;15:9;19:12;11:16;7:18;5:17;
tttttttttt;20151107:0:1:1:1:1:1:2:3:4:4;18:15;4:13;12:11;14:19;16:7;20:8;9:1;17:2;3:5;6:10;
tttttttttt;20151121:0:1:1:1:1:1:1:2:4:5;19:4;1:20;7:9;8:18;11:17;13:3;15:14;2:6;5:12;10:16;
tttttttttt;20151128:1:1:1:1:1:2:7:8:9:9;2:7;10:15;16:9;17:19;18:11;14:4;5:1;12:13;6:8;20:3;
tttttttttt;20151205:0:0:0:0:0:0:0:0:0:0;1:18;3:16;4:12;7:17;8:14;9:2;11:10;13:5;15:6;19:20;
tttttttttt;20151212:0:0:0:0:0:0:0:0:0:0;2:8;5:15;6:13;10:7;12:9;14:1;16:19;17:3;18:4;20:11;
tttttttttt;20151219:0:0:0:0:0:0:0:0:0:0;1:16;3:2;4:20;7:5;8:12;9:10;11:14;13:18;15:17;19:6;
tttttttttt;20151226:0:0:0:0:0:0:0:0:0:0;1:19;2:16;5:20;6:14;7:3;8:13;9:4;15:11;17:12;18:10;
tttttttttt;20151228:0:0:0:0:0:0:0:0:0:0;3:18;4:1;10:8;11:9;12:7;13:15;14:2;16:6;19:5;20:17;
tttttttttt;20160102:0:0:0:0:0:0:0:0:0:0;3:15;4:8;10:1;11:5;12:6;13:9;14:18;16:17;19:2;20:7;
tttttttttt;20160112:0:0:0:0:0:0:0:0:0:0;1:13;2:11;5:14;6:3;7:19;8:16;9:20;15:4;17:10;18:12;
tttttttttt;20160116:0:0:0:0:0:0:0:0:0:0;1:11;2:10;5:16;6:4;7:13;8:19;9:3;15:12;17:14;18:20;
tttttttttt;20160123:0:0:0:0:0:0:0:0:0:0;3:1;4:7;10:5;11:8;12:2;13:17;14:9;16:18;19:15;20:6;
tttttttttt;20160202:0:0:0:0:0:0:0:0:0:0;3:7;4:9;10:18;11:15;12:17;13:8;14:6;16:2;19:1;20:5;
tttttttttt;20160206:0:0:0:0:0:0:0:0:0:0;1:4;2:14;5:19;6:16;7:12;8:10;9:11;15:13;17:20;18:3;
tttttttttt;20160213:0:0:0:0:0:0:0:0:0:0;1:15;2:5;3:14;8:7;10:19;11:13;16:4;17:6;18:9;20:12;
tttttttttt;20160227:0:0:0:0:0:0:0:0:0:0;4:3;5:8;6:11;7:1;9:17;12:16;13:10;14:20;15:2;19:18;
tttttttttt;20160301:0:0:0:0:0:0:0:0:0:0;3:8;4:10;6:1;9:15;12:19;14:13;16:11;17:5;18:7;20:2;
tttttttttt;20160305:0:0:0:0:0:0:0:0:0:0;1:9;2:17;5:3;7:16;8:20;10:6;11:12;13:4;15:18;19:14;
tttttttttt;20160312:0:0:0:0:0:0:0:0:0:0;3:13;4:19;6:2;9:7;12:5;14:15;16:10;17:11;18:8;20:1;
tttttttttt;20160319:0:0:0:0:0:0:0:0:0:0;1:12;2:4;5:18;7:6;8:17;10:14;11:3;13:20;15:16;19:9;
tttttttttt;20160402:0:0:0:0:0:0:0:0:0:0;3:19;4:11;6:5;9:8;12:10;14:7;16:13;17:1;18:2;20:15;
tttttttttt;20160409:0:0:0:0:0:0:0:0:0:0;2:13;5:4;6:9;7:15;8:1;10:20;12:3;16:14;17:18;19:11;
tttttttttt;20160416:0:0:0:0:0:0:0:0:0:0;1:2;3:10;4:17;9:5;11:7;13:19;14:12;15:8;18:6;20:16;
tttttttttt;20160423:0:0:0:0:0:0:0:0:0:0;2:9;5:13;6:15;10:11;12:4;14:8;16:3;17:7;18:1;20:19;
tttttttttt;20160430:0:0:0:0:0:0:0:0:0:0;1:5;3:20;4:14;7:2;8:6;9:16;11:18;13:12;15:10;19:17;
tttttttttt;20160507:0:0:0:0:0:0:0:0:0:0;2:3;5:7;6:19;10:9;12:8;14:11;16:1;17:15;18:13;20:4;
tttttttttt;20160514:0:0:0:0:0:0:0:0:0:0;1:14;3:17;4:18;7:10;8:2;9:12;11:20;13:6;15:5;19:16;
