9:5+{0:0};10:14+{1:0};15:12+{0:0};3:20+{1:0};11:4+{0:0};7:1+{0:1};19:2+{0:0};13:8+{1:2};18:6+{1:1};16:17+{1:3};
6:10;12:19;1:9;8:11;2:18;17:7;4:15;5:3;14:16;20:13;
13:5;10:2;19:4;3:1;18:12;16:6;7:14;8:20;9:17;11:15;
1:13;2:16;4:18;5:8;6:7;12:10;14:9;15:19;17:3;20:11;
3:14;7:2;8:1;9:6;10:4;11:19;13:17;16:12;18:15;20:5;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;
