11;0,2100;1,1300;1,1600;1,1830;1,2100;2,1200;2,1400;2,1600;2,1830;2,2100;3,2100;
tttttttttt;20200911:3:4:5:7:8:9:10:0:0:0;14:17;7:11;19:10;16:15;13:6;5:18;9:12;1:8;2:20;3:4;
tttttttttt;20200918:3:4:5:8:9:9:10:0:0:0;5:14;8:10;17:9;18:19;7:16;15:13;6:1;4:20;11:2;12:3;
tttttttttt;20200925:1:2:3:4:5:6:8:9:10:11;14:11;16:8;9:18;20:6;15:1;10:12;3:7;13:17;2:5;19:4;
tttttttttt;20200929:0:0:0:0:0:0:0:0:0:0;1:13;4:12;5:16;6:9;7:10;8:15;11:19;14:20;17:2;18:3;
tttttttttt;20201002:0:0:0:0:0:0:0:0:0:0;2:4;3:5;6:8;9:15;10:17;12:1;13:14;16:11;19:7;20:18;
tttttttttt;20201016:0:0:0:0:0:0:0:0:0:0;1:19;5:9;7:4;8:2;11:12;14:10;15:6;16:20;17:3;18:13;
tttttttttt;20201023:0:0:0:0:0:0:0:0:0:0;2:1;3:15;4:14;6:18;8:7;10:11;12:17;13:16;19:5;20:9;
tttttttttt;20201030:0:0:0:0:0:0:0:0:0:0;1:18;5:13;7:12;9:8;10:3;11:4;14:19;15:20;16:2;17:6;
tttttttttt;20201106:0:0:0:0:0:0:0:0:0:0;2:15;3:19;4:10;6:7;8:5;9:1;12:16;13:11;18:14;20:17;
tttttttttt;20201120:0:0:0:0:0:0:0:0:0:0;3:2;4:17;5:1;7:13;10:18;11:15;12:20;14:8;16:9;19:6;
tttttttttt;20201127:0:0:0:0:0:0:0:0:0:0;1:16;2:10;6:5;8:11;9:3;13:12;15:14;17:7;18:4;20:19;
tttttttttt;20201204:0:0:0:0:0:0:0:0:0:0;3:13;4:1;5:20;7:18;10:15;11:17;12:8;14:9;16:6;19:2;
tttttttttt;20201211:0:0:0:0:0:0:0:0:0:0;1:3;2:12;6:14;8:4;9:11;13:10;15:5;17:19;18:16;20:7;
tttttttttt;20201218:0:0:0:0:0:0:0:0:0:0;2:9;3:20;4:13;7:15;10:5;11:18;12:6;14:1;17:16;19:8;
tttttttttt;20201222:0:0:0:0:0:0:0:0:0:0;1:7;5:11;6:3;8:17;9:4;13:2;15:19;16:14;18:12;20:10;
tttttttttt;20201229:0:0:0:0:0:0:0:0:0:0;2:14;3:8;4:5;7:9;10:16;11:6;12:15;17:18;19:13;20:1;
tttttttttt;20210101:0:0:0:0:0:0:0:0:0:0;1:17;5:12;6:10;8:13;9:19;11:20;14:7;15:4;16:3;18:2;
tttttttttt;20210108:0:0:0:0:0:0:0:0:0:0;3:11;4:6;7:2;10:1;12:14;13:9;17:5;18:15;19:16;20:8;
tttttttttt;20210119:0:0:0:0:0:0:0:0:0:0;1:11;2:6;5:7;8:18;9:10;13:20;14:3;15:17;16:4;19:12;
tttttttttt;20210122:0:0:0:0:0:0:0:0:0:0;3:9;4:19;6:15;10:7;11:8;12:13;16:1;17:14;18:5;20:2;
tttttttttt;20210129:0:0:0:0:0:0:0:0:0:0;1:12;2:11;5:6;7:17;8:16;9:20;13:18;14:4;15:10;19:3;
tttttttttt;20210205:0:0:0:0:0:0:0:0:0:0;3:17;4:8;6:19;10:14;11:9;12:7;15:2;16:13;18:1;20:5;
tttttttttt;20210212:0:0:0:0:0:0:0:0:0:0;1:9;2:16;4:18;5:15;7:3;8:6;12:10;14:13;17:20;19:11;
tttttttttt;20210219:0:0:0:0:0:0:0:0:0:0;2:19;3:12;6:16;9:17;10:4;11:5;13:1;15:8;18:7;20:14;
tttttttttt;20210226:0:0:0:0:0:0:0:0:0:0;1:6;4:2;5:3;7:20;8:9;12:11;14:18;16:10;17:13;19:15;
tttttttttt;20210305:0:0:0:0:0:0:0:0:0:0;3:1;6:12;9:5;10:2;11:7;13:8;15:16;18:17;19:14;20:4;
tttttttttt;20210312:0:0:0:0:0:0:0:0:0:0;1:20;2:18;4:15;7:6;8:3;10:13;12:9;14:5;16:19;17:11;
tttttttttt;20210319:0:0:0:0:0:0:0:0:0:0;3:16;5:19;6:2;8:20;9:7;11:14;13:4;15:12;17:1;18:10;
tttttttttt;20210402:0:0:0:0:0:0:0:0:0:0;1:14;2:13;4:3;6:11;7:5;10:8;12:18;16:17;19:9;20:15;
tttttttttt;20210409:0:0:0:0:0:0:0:0:0:0;1:2;5:10;8:19;9:6;11:16;13:7;14:12;15:3;17:4;18:20;
tttttttttt;20210420:0:0:0:0:0:0:0:0:0:0;2:8;3:18;6:17;7:14;10:9;12:4;15:11;16:5;19:1;20:13;
tttttttttt;20210423:0:0:0:0:0:0:0:0:0:0;1:15;4:7;5:2;9:16;11:3;13:19;14:6;17:10;18:8;20:12;
tttttttttt;20210427:0:0:0:0:0:0:0:0:0:0;2:7;3:14;6:4;8:1;10:20;11:13;12:5;15:9;16:18;19:17;
tttttttttt;20210430:0:0:0:0:0:0:0:0:0:0;1:10;4:11;5:8;7:19;9:2;13:15;14:16;17:12;18:6;20:3;
tttttttttt;20210507:0:0:0:0:0:0:0:0:0:0;1:4;2:3;5:17;6:20;8:14;9:13;11:10;15:7;16:12;19:18;
tttttttttt;20210511:0:0:0:0:0:0:0:0:0:0;3:6;4:9;7:1;10:19;12:2;13:5;14:15;17:8;18:11;20:16;
tttttttttt;20210514:0:0:0:0:0:0:0:0:0:0;2:17;3:10;5:4;6:13;8:12;9:14;11:1;15:18;16:7;19:20;
tttttttttt;20210521:0:0:0:0:0:0:0:0:0:0;1:5;4:16;7:8;10:6;12:19;13:3;14:2;17:15;18:9;20:11;
