5:7+{2:2};3:2+{1:1};1:9+{2:0};4:8+{3:5};6:10+{2:0};
2:5+{1:1};8:1+{2:3};7:6+{1:0};10:4+{2:3};9:3+{2:2};
1:7+{3:0};6:2+{1:1};4:5+{0:1};10:9+{1:0};3:8+{2:3};
8:10+{6:1};5:1+{1:3};6:3+{0:2};9:7+{1:1};2:4+{3:1};
1:4+{3:1};2:10+{0:1};5:6+{0:1};7:3+{3:1};9:8+{3:3};
10:1+{1:3};3:5+{2:5};4:9;6:8;7:2;
10:5;9:6;4:7;1:3;8:2;
1:6;2:9;3:4;5:8;7:10;
6:4;9:5;8:7;10:3;2:1;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
null;null;null;null;null;
