5;0,1900;1,1600;0,2000;1,2000;2,2000;
ttttt;20180721:1:1:2:2:2;2:5;3:10;1:9;4:7;6:8;
ttttt;20180728:1:1:2:2:2;9:4;10:2;5:6;7:3;8:1;
ttttt;20180804:1:1:2:2:2;2:9;3:8;1:4;5:7;6:10;
ttttt;20180811:1:1:2:2:2;8:9;10:7;2:6;3:1;4:5;
ttttt;20180825:1:1:2:2:2;1:10;4:2;5:3;7:8;9:6;
ttttt;20180901:1:1:2:2:2;6:1;8:4;2:7;3:9;10:5;
ttttt;20180922:1:1:2:2:2;7:6;9:10;1:2;4:3;5:8;
ttttt;20180925:3:4:4:4:5;9:7;1:5;2:3;10:8;6:4;
ttttt;20180929:1:1:2:2:2;5:9;7:1;3:6;4:10;8:2;
ttttt;20181006:0:0:0:0:0;1:3;5:2;7:4;9:8;10:6;
ttttt;20181020:0:0:0:0:0;2:10;3:7;4:1;6:9;8:5;
ttttt;20181027:0:0:0:0:0;1:6;5:4;8:7;9:2;10:3;
ttttt;20181103:0:0:0:0:0;2:8;3:4;6:5;7:10;9:1;
ttttt;20181110:0:0:0:0:0;4:6;5:1;7:2;8:3;10:9;
ttttt;20181124:0:0:0:0:0;1:8;3:2;6:7;9:5;10:4;
ttttt;20181201:0:0:0:0:0;2:1;4:9;6:3;7:5;8:10;
ttttt;20181208:0:0:0:0:0;1:7;2:4;5:10;8:6;9:3;
ttttt;20181215:0:0:0:0:0;3:5;4:8;6:2;7:9;10:1;
ttttt;20190202:0:0:0:0:0;1:10;3:6;5:4;8:7;9:2;
ttttt;20190209:0:0:0:0:0;2:5;4:9;6:8;7:1;10:3;
ttttt;20190216:0:0:0:0:0;1:4;2:6;3:8;5:7;9:10;
ttttt;20190223:0:0:0:0:0;4:3;6:5;7:9;8:1;10:2;
ttttt;20190302:0:0:0:0:0;1:6;2:7;4:8;5:10;9:3;
ttttt;20190309:0:0:0:0:0;3:5;7:4;8:2;9:1;10:6;
ttttt;20190316:0:0:0:0:0;2:1;4:10;5:8;6:9;7:3;
ttttt;20190330:0:0:0:0:0;1:5;3:2;6:4;9:8;10:7;
ttttt;20190402:0:0:0:0:0;3:1;4:2;5:9;7:6;8:10;
ttttt;20190406:0:0:0:0:0;1:7;2:8;6:3;9:4;10:5;
ttttt;20190413:0:0:0:0:0;2:9;3:10;4:1;7:5;8:6;
ttttt;20190420:0:0:0:0:0;5:3;6:2;8:4;9:7;10:1;
ttttt;20190427:0:0:0:0:0;1:8;3:7;4:6;5:2;10:9;
ttttt;20190504:0:0:0:0:0;2:4;6:1;7:10;8:3;9:5;
ttttt;20190511:0:0:0:0:0;1:2;3:9;5:6;7:8;10:4;
ttttt;20190514:0:0:0:0:0;1:9;2:3;4:7;6:10;8:5;
ttttt;20190521:0:0:0:0:0;3:4;5:1;7:2;9:6;10:8;
ttttt;20190525:0:0:0:0:0;1:3;2:10;4:5;6:7;8:9;
